# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:26:43+0200
# parameter filename: "TOV_90_controlres.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
# Run ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.65796303749084 0 0.287538766860962 0 4.42948198318481 0 0 0 0 0 0 0 0 0 13.7286442424393 35584.6458764027 0 35584.6458764027 124 589859 2339 587520 0 0 0 0 4.65623188018799 1688995603.34607 266
512 0.5 1275.13617390265 1275.13617390265 6.14253997802734 1.41161394119263 1.70082712173462 0 4.44413781166077 3 169542.105682096 169542.105682096 239328 239328 83240.8894323647 83240.8894323647 117504 117504 32.8702022673881 135901.175859401 3627.87972148419 132273.296137917 150 603830 16310 587520 0 0 0 0 6.1299569606781 1688995604.83065 905
1024 1 1648.97231730522 1648.97231730522 6.91410398483276 2.18317794799805 2.45949769020081 0 4.45701146125793 6 219247.359308902 219247.359308902 478656 478656 107644.912873685 107644.912873685 235008 235008 38.6117175399472 135824.34899558 3933.90545447695 131890.443541103 176 605235 17715 587520 0 0 0 0 6.89149904251099 1688995605.60221 1544
1536 1.5 1828.51267431799 1828.51267431799 7.6841459274292 2.95321989059448 3.21660542488098 0 4.47000241279602 9 243119.04517732 243119.04517732 717984 717984 119365.307379478 119365.307379478 352512 352512 44.3196877313286 135741.130864757 4232.53017834188 131508.600686415 202 606630 19110 587520 0 0 0 0 7.65154719352722 1688995606.37225 2183
2048 2 1878.65806569128 1878.65806569128 8.56344890594482 3.83252286911011 4.02896237373352 0 4.59242868423462 12 249786.376414313 249786.376414313 957312 957312 122638.798528327 122638.798528327 470016 470016 62.6311265856828 168350.042408821 4485.8441756316 163864.198233189 348 1195572 20532 1175040 0 0 0 0 8.51962399482727 1688995607.25156 2822
2560 2.5 1628.71754283315 1628.71754283315 10.2567460536957 5.52582001686096 5.65207815170288 0 4.60710597038269 15 216554.284495095 216554.284495095 1196640 1196640 106322.681196148 106322.681196148 587520 587520 80.3532432468957 259901.262256518 4716.73537859278 255184.526877925 374 1196958 21918 1175040 0 0 0 0 10.2022969722748 1688995608.94485 3461
3072 3 1715.18745600899 1629.87958623133 11.0276138782501 6.29668784141541 6.40178608894348 0 4.62826871871948 18 228051.324150955 228051.324150955 1435968 1435968 111967.437128267 111967.437128267 705024 705024 85.6062996801176 259022.612724542 5005.37440099354 254017.238323549 400 1198387 23347 1175040 0 0 0 0 10.9628245830536 1688995609.71572 4100
3584 3.5 1776.75875336818 1638.38327793805 11.8224909305573 7.09156489372253 7.18238306045532 0 4.66512703895569 21 236237.843847833 236237.843847833 1675296 1675296 115986.811419875 115986.811419875 822528 822528 90.9461615578196 258525.02432743 5289.53220207375 253235.492125356 426 1199784 24744 1175040 0 0 0 0 11.747269153595 1688995610.5106 4739
4096 4 1806.96880854988 1651.27472525962 12.7000730037689 7.9691469669342 7.94248843193054 0 4.82212853431702 24 240254.572784792 240254.572784792 1914624 1914624 117958.923822136 117958.923822136 940032 940032 106.776872240382 285131.662825243 5460.33383279655 279671.328992447 572 1788729 26169 1762560 0 0 0 0 12.6140787601471 1688995611.38818 5378
4608 4.5 1672.18625062494 1645.67272021238 14.4188420772552 9.68791604042053 9.58607172966003 0 4.83520865440369 27 222333.883883092 222333.883883092 2153952 2153952 109160.318440796 109160.318440796 1057536 1057536 122.910868358472 370372.037415489 5661.96984998797 364710.067565501 598 1790124 27564 1762560 0 0 0 0 14.3225967884064 1688995613.10695 6017
