# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:47:10+0200
# parameter filename: "TOV_90moreprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
# Run ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.56725692749023 0 0.229681968688965 0 4.39620733261108 0 0 0 0 0 0 0 0 0 13.8326139766773 53559.8813176946 0 53559.8813176946 124 488579 2339 486240 0 0 0 0 4.56547904014587 1688996830.50113 266
512 0.375 936.076428054104 936.076428054104 6.08177995681763 1.44218993186951 1.67382287979126 0 4.41077303886414 3 164821.56389198 164821.56389198 237704 237704 108856.674513385 108856.674513385 156992 156992 33.1219196214343 113965.265818534 3655.66173136845 110309.604087166 150 502559 16319 486240 0 0 0 0 6.06932187080383 1688996832.01566 905
1024 0.75 1118.1170850457 1118.1170850457 7.05436396598816 2.41477394104004 2.6312518119812 0 4.42542314529419 6 196874.743395335 196874.743395335 475408 475408 130026.249937403 130026.249937403 313984 313984 38.8866467797302 113905.318802189 3973.67269651475 109931.646105674 176 504019 17779 486240 0 0 0 0 7.03162693977356 1688996832.98824 1544
1536 1.125 1225.00129084664 1225.00129084664 7.94570899009705 3.30611896514893 3.50986480712891 0 4.43814420700073 9 215694.597658822 215694.597658822 713112 713112 142455.853816738 142455.853816738 470976 470976 44.6363740097636 113905.488822178 4289.37519335238 109616.113628825 202 505475 19235 486240 0 0 0 0 7.91256952285767 1688996833.87959 2183
2048 1.5 1265.17593600598 1265.17593600598 8.90777111053467 4.26818108558655 4.40619659423828 0 4.56304669380188 12 222768.430142494 222768.430142494 950816 950816 147127.778181816 147127.778181816 627968 627968 63.0890367296768 164180.332309163 4556.18360325941 159624.148705903 348 993191 20711 972480 0 0 0 0 8.86375641822815 1688996834.84165 2822
2560 1.875 1081.17337732639 1195.6145129212 10.8828070163727 6.24321699142456 6.30937695503235 0 4.57575488090515 15 190369.804802957 190369.804802957 1188520 1188520 125730.05248387 125730.05248387 784960 784960 80.9020789729896 217434.613990482 4797.71193736578 212636.902053116 374 994630 22150 972480 0 0 0 0 10.8283908367157 1688996836.81668 3461
3072 2.25 1134.02828646644 1182.35370063035 11.7822690010071 7.14267897605896 7.19454193115234 0 4.59004616737366 18 199676.340597199 199676.340597199 1426224 1426224 131876.569443659 131876.569443659 941952 941952 86.3172533959259 217079.173376269 5104.92443063784 211974.248945631 400 996105 23625 972480 0 0 0 0 11.7175018787384 1688996837.71615 4100
3584 2.625 1175.26203401876 1177.05075617649 12.6803500652313 8.0407600402832 8.07835006713867 0 4.60435509681702 21 206936.656692145 206936.656692145 1663928 1663928 136671.657218276 136671.657218276 1098944 1098944 91.6992612287924 216723.598525286 5406.77966325785 211316.818862028 426 997571 25091 972480 0 0 0 0 12.6048560142517 1688996838.61423 4739
4096 3 1201.41794343036 1176.49888760708 13.628968000412 8.98937797546387 8.96199655532837 0 4.72424840927124 24 211542.111722349 211542.111722349 1901632 1901632 139713.337611126 139713.337611126 1255936 1255936 108.850033898354 263805.77093459 5651.20235046295 258154.568584127 572 1485286 26566 1458720 0 0 0 0 13.5424644947052 1688996839.56284 5378
4608 3.375 1108.91406798356 1159.06223878232 15.5962550640106 10.9566650390625 10.8604078292847 0 4.73820018768311 27 195254.303419232 195254.303419232 2139336 2139336 128956.027674722 128956.027674722 1412928 1412928 125.426343072144 313879.00122712 5862.30902813455 308016.692198985 598 1486692 27972 1458720 0 0 0 0 15.4996492862701 1688996841.53013 6017
5120 3.75 1139.20533255679 1155.48737980898 16.4899559020996 11.8503658771515 11.7410755157471 0 4.75124335289001 30 200587.899533392 200587.899533392 2377040 2377040 132478.61005093 132478.61005093 1569920 1569920 130.557089157641 313331.960155532 6160.61000063861 307171.350154893 624 1488180 29460 1458720 0 0 0 0 16.3829181194305 1688996842.42383 6656
5632 4.125 1165.81647076863 1154.48111316667 17.3774440288544 12.7378540039062 12.6156554222107 0 4.76420855522156 33 205273.509901915 205273.509901915 2614744 2614744 135573.229169562 135573.229169562 1726912 1726912 135.663309181491 312790.86978408 6452.19738590111 306338.672398179 650 1489653 30933 1458720 0 0 0 0 17.260046005249 1688996843.31132 7295
6144 4.5 1185.35412187858 1155.26608928942 18.306391954422 13.6668019294739 13.4788064956665 0 4.88313961029053 36 208713.641620019 208713.641620019 2852448 2852448 137845.269853305 137845.269853305 1883904 1883904 151.62859492677 356961.055318996 6674.14389144879 350286.911427547 796 1977379 32419 1944960 0 0 0 0 18.1781663894653 1688996844.24027 7934
6656 4.875 1057.68570231324 1135.13025634371 21.2324209213257 16.5928308963776 16.3391132354736 0 4.89916563034058 39 186234.164579754 186234.164579754 3090152 3090152 122998.662057452 122998.662057452 2040896 2040896 167.167088708742 404353.277379383 6879.80445156456 397473.472927818 822 1978833 33873 1944960 0 0 0 0 21.0940375328064 1688996847.1663 8573
7168 5.25 1081.21249940686 1131.43060854503 22.1199650764465 17.4803750514984 17.2067844867706 0 4.91552686691284 42 190376.69330297 190376.69330297 3327856 3327856 125734.602005098 125734.602005098 2197888 2197888 171.782816567643 403022.43401369 7156.66753098515 395865.766482705 848 1980324 35364 1944960 0 0 0 0 21.9712564945221 1688996848.05384 9212
7680 5.625 1102.19947400988 1129.12409158133 23.0119450092316 18.3723549842834 18.0785987377167 0 4.93566656112671 45 194072.01760744 194072.01760744 3565560 3565560 128175.185054636 128175.185054636 2354880 2354880 176.35088885274 401672.595220345 7424.98052721362 394247.614693131 874 1981798 36838 1944960 0 0 0 0 22.852799654007 1688996848.94582 9851
8192 6 1116.41170797734 1127.76628523135 23.987291097641 19.3477010726929 18.97869348526 0 5.06396579742432 48 196574.465654107 196574.465654107 3803264 3803264 129827.931006502 129827.931006502 2511872 2511872 190.871791664162 442318.822842478 7610.313894208 434708.50894827 1020 2469508 38308 2431200 0 0 0 0 23.8174097537994 1688996849.92117 10490
8704 6.375 1073.88004129862 1121.11464824612 26.0106921195984 21.3711020946503 20.936065196991 0 5.07697486877441 51 189085.615805072 189085.615805072 4040968 4040968 124881.907735965 124881.907735965 2668864 2668864 205.335291813847 486872.835713904 7783.42932443698 479089.406389467 1046 2470906 39706 2431200 0 0 0 0 25.8304407596588 1688996851.94457 11129
9216 6.75 1089.70026791861 1119.30196679966 26.9393000602722 22.2997100353241 21.8520245552063 0 5.08967542648315 54 191871.194433574 191871.194433574 4278672 4278672 126721.647748947 126721.647748947 2825856 2825856 209.935553703841 485957.168535138 8058.93055313677 477898.237982002 1072 2472403 41203 2431200 0 0 0 0 26.7487885951996 1688996852.87318 11768
9728 7.125 1106.60144489676 1118.2776274156 27.818666934967 23.1790769100189 22.7182183265686 0 5.10276079177856 57 194847.103598325 194847.103598325 4516376 4516376 128687.091879431 128687.091879431 2982848 2982848 214.490936777328 484990.868435932 8326.91460317175 476663.95383276 1098 2473878 42678 2431200 0 0 0 0 27.6179156303406 1688996853.75254 12407
10240 7.5 1110.01831988529 1117.33840686199 28.9635128974915 24.3239228725433 23.7967708110809 0 5.22236847877502 60 195448.736822232 195448.736822232 4754080 4754080 129084.441537357 129084.441537357 3139840 3139840 228.383762971954 524022.286136788 8509.81126300922 515512.474873779 1244 2961613 44173 2917440 0 0 0 0 28.7520117759705 1688996854.89739 13046
10752 7.875 1079.08765056051 1113.47671255772 30.9117839336395 26.2721939086914 25.6787111759186 0 5.24073100090027 63 190002.556213953 190002.556213953 4991784 4991784 125487.502545775 125487.502545775 3296832 3296832 241.92287373267 566184.36952334 8683.9992684893 557500.370254851 1270 2963096 45656 2917440 0 0 0 0 30.6900687217712 1688996856.84566 13685
11264 8.25 1092.87321475058 1112.38872125668 31.8156609535217 27.1760709285736 26.5645017623901 0 5.25365614891052 66 192429.877510423 192429.877510423 5229488 5229488 127090.630911202 127090.630911202 3453824 3453824 246.040912677336 564523.163762855 8942.97778656377 555580.185976291 1296 2964609 47169 2917440 0 0 0 0 31.5834197998047 1688996857.74954 14324
11776 8.625 1103.37442450409 1111.67045519019 32.7805359363556 28.1409459114075 27.5160069465637 0 5.2669084072113 69 194278.899409126 194278.899409126 5467192 5467192 128311.820482775 128311.820482775 3610816 3610816 250.35478056169 563374.426420863 9205.19197329292 554169.23444757 1322 2966113 48673 2917440 0 0 0 0 32.5379946231842 1688996858.71441 14963
12288 9 1114.04188939404 1111.43824585837 33.7228770256042 29.0832870006561 28.3944959640503 0 5.38219928741455 72 196157.195019645 196157.195019645 5704896 5704896 129552.34392574 129552.34392574 3767808 3767808 263.494668226777 600509.979116778 9381.08581622768 591128.89330055 1468 3453861 50181 3403680 0 0 0 0 33.4693486690521 1688996859.65675 15602
12800 9.375 1091.59207792351 1109.54405512028 35.5577330589294 30.9181430339813 30.165219783783 0 5.39485430717468 75 192204.298733874 192204.298733874 5942600 5942600 126941.647035087 126941.647035087 3924800 3924800 276.309009171521 640718.86775395 9532.66081641748 631186.206937533 1494 3455296 51616 3403680 0 0 0 0 35.2939720153809 1688996861.49161 16241
13312 9.75 1098.2863652386 1108.81751847738 36.5984680652618 31.9588780403137 31.1932811737061 0 5.40750002861023 78 193383.00900939 193383.00900939 6180304 6180304 127720.128186325 127720.128186325 4081792 4081792 280.471338071281 639498.701774783 9792.44586023279 629706.25591455 1520 3456819 53139 3403680 0 0 0 0 36.3242974281311 1688996862.53235 16880
13824 10.125 1106.36562749207 1108.42963471232 37.5852990150452 32.945708990097 32.1673057079315 0 5.42047309875488 81 194805.581568427 194805.581568427 6418008 6418008 128659.668586101 128659.668586101 4238784 4238784 284.607217579137 638263.800632536 10045.9703278955 628217.830304641 1546 3458325 54645 3403680 0 0 0 0 37.3006074428558 1688996863.51918 17519
14336 10.5 1115.40298720621 1108.40639244749 38.5286870002747 33.8890969753265 33.0461630821228 0 5.53494143486023 84 196396.853089529 196396.853089529 6655712 6655712 129710.626494427 129710.626494427 4395776 4395776 296.943528984876 673409.009266038 10210.808167139 663198.201098899 1692 3946110 56190 3889920 0 0 0 0 38.2336461544037 1688996864.46256 18158
