# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.125 0.96687755898782
1024 0.25 0.966879775209305
1536 0.375 0.966881791135291
2048 0.5 0.966883625823467
2560 0.625 0.966885393278314
3072 0.75 0.966887203539603
3584 0.875 0.966889101936276
4096 1 0.966891072053538
4608 1.125 0.966893073759494
5120 1.25 0.96689507721982
5632 1.375 0.966897074046352
6144 1.5 0.966899070177201
6656 1.625 0.966901074377195
7168 1.75 0.966903091722052
7680 1.875 0.96690512302625
8192 2 0.966907166793715
8704 2.125 0.966909220873053
9216 2.25 0.966911283271594
9728 2.375 0.966913352689696
10240 2.5 0.966915428997406
10752 2.625 0.966917513305196
11264 2.75 0.966919607351726
11776 2.875 0.966921712484947
12288 3 0.966923828896481
12800 3.125 0.966925955608612
13312 3.25 0.966928091173209
13824 3.375 0.966930234569462
14336 3.5 0.966932385715414
14848 3.625 0.966934545336579
15360 3.75 0.966936714384
15872 3.875 0.96693889344089
16384 4 0.966941082471473
16896 4.125 0.966943280973878
17408 4.25 0.966945488345005
17920 4.375 0.966947704204254
18432 4.5 0.966949928529172
18944 4.625 0.966952161598361
19456 4.75 0.966954403817465
19968 4.875 0.966956655517913
20480 5 0.966958916807157
20992 5.125 0.966961187531459
21504 5.25 0.966963467372371
22016 5.375 0.966965756031399
22528 5.5 0.966968053399902
23040 5.625 0.9669703596127
23552 5.75 0.966972674954956
24064 5.875 0.966974999686077
24576 6 0.966977333893893
25088 6.125 0.966979677464071
25600 6.25 0.966982030169407
26112 6.375 0.966984391810653
26624 6.5 0.966986762320848
27136 6.625 0.966989141781316
27648 6.75 0.966991530356078
28160 6.875 0.966993928193259
28672 7 0.966996335348662
29184 7.125 0.966998751764914
29696 7.25 0.967001177308074
30208 7.375 0.967003611838033
30720 7.5 0.96700605527657
31232 7.625 0.967008507639723
31744 7.75 0.967010969018578
32256 7.875 0.96701343951915
32768 8 0.967015919194953
33280 8.125 0.967018408010965
33792 8.25 0.967020905859333
34304 8.375 0.967023412615694
34816 8.5 0.967025928200722
35328 8.625 0.967028452610348
35840 8.75 0.967030985899713
36352 8.875 0.967033528134633
36864 9 0.967036079341568
37376 9.125 0.96703863948388
37888 9.25 0.967041208473907
38400 9.375 0.967043786209986
38912 9.5 0.967046372616266
39424 9.625 0.967048967664748
39936 9.75 0.967051571370128
40448 9.875 0.967054183762134
40960 10 0.967056804850748
41472 10.125 0.967059434602699
41984 10.25 0.967062072941399
42496 10.375 0.967064719769875
43008 10.5 0.967067375003515
43520 10.625 0.967070038593893
44032 10.75 0.967072710530238
44544 10.875 0.967075390818524
45056 11 0.967078079451277
45568 11.125 0.967080776386033
46080 11.25 0.967083481544189
46592 11.375 0.967086194829264
47104 11.5 0.967088916152664
47616 11.625 0.967091645452028
48128 11.75 0.967094382692892
48640 11.875 0.967097127854396
49152 12 0.967099880908004
49664 12.125 0.967102641800948
50176 12.25 0.967105410452649
50688 12.375 0.967108186765176
51200 12.5 0.967110970641575
51712 12.625 0.967113762001995
52224 12.75 0.967116560788988
52736 12.875 0.967119366959299
53248 13 0.967122180467035
53760 13.125 0.967125001247867
54272 13.25 0.967127829213182
54784 13.375 0.96713066425718
55296 13.5 0.967133506272311
55808 13.625 0.967136355163867
56320 13.75 0.967139210855497
56832 13.875 0.967142073283113
57344 14 0.967144942381361
57856 14.125 0.967147818070658
58368 14.25 0.967150700251841
58880 14.375 0.967153588810778
59392 14.5 0.967156483629796
59904 14.625 0.96715938459941
60416 14.75 0.967162291624086
60928 14.875 0.967165204619205
61440 15 0.967168123501128
61952 15.125 0.967171048175791
62464 15.25 0.967173978531893
62976 15.375 0.967176914442078
63488 15.5 0.967179855771088
64000 15.625 0.967182802386085
64512 15.75 0.967185754163428
65024 15.875 0.967188710988554
65536 16 0.967191672749797
66048 16.125 0.967194639330379
66560 16.25 0.967197610603459
67072 16.375 0.967200586432818
67584 16.5 0.96720356667823
68096 16.625 0.967206551201925
68608 16.75 0.967209539872343
69120 16.875 0.967212532563323
69632 17 0.96721552914955
70144 17.125 0.967218529501054
70656 17.25 0.96722153347966
71168 17.375 0.967224540939032
71680 17.5 0.967227551727974
72192 17.625 0.967230565695127
72704 17.75 0.967233582692719
73216 17.875 0.96723660257766
73728 18 0.967239625209585
74240 18.125 0.96724265044686
74752 18.25 0.967245678142468
75264 18.375 0.967248708141756
75776 18.5 0.96725174028325
76288 18.625 0.967254774402385
76800 18.75 0.967257810336509
77312 18.875 0.96726084792861
77824 19 0.967263887027542
78336 19.125 0.967266927484144
78848 19.25 0.967269969145051
79360 19.375 0.967273011847749
79872 19.5 0.967276055420235
80384 19.625 0.967279099686084
80896 19.75 0.967282144472247
81408 19.875 0.967285189614681
81920 20 0.967288234957888
82432 20.125 0.96729128034829
82944 20.25 0.967294325625627
