# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.125 1.68810254151385e-08 1.68810254151384e-08 1.68810254151384e-08
1024 0.25 8.02471088523895e-08 8.02471088523859e-08 8.02471088523827e-08
1536 0.375 2.29110560403948e-07 2.29110560403948e-07 2.29110560403948e-07
2048 0.5 5.59277676479529e-07 5.59277676479529e-07 5.59277676479529e-07
2560 0.625 1.0430704613981e-06 1.0430704613981e-06 1.0430704613981e-06
3072 0.75 1.63138592993923e-06 1.63138592993923e-06 1.63138592993923e-06
3584 0.875 2.25028489646875e-06 2.25028489646875e-06 2.25028489646875e-06
4096 1 2.82220655374951e-06 2.82220655374951e-06 2.82220655374952e-06
4608 1.125 3.28424156381236e-06 3.28424156381236e-06 3.28424156381236e-06
5120 1.25 3.60042893855576e-06 3.60042893855576e-06 3.60042893855576e-06
5632 1.375 3.76675613645522e-06 3.76675613645523e-06 3.76675613645523e-06
6144 1.5 4.37226133662502e-06 4.37226133662502e-06 4.37226133662502e-06
6656 1.625 4.85069156813779e-06 4.85069156813779e-06 4.85069156813779e-06
7168 1.75 5.0880001542564e-06 5.0880001542564e-06 5.0880001542564e-06
7680 1.875 5.11201353729148e-06 5.11201353729148e-06 5.11201353729149e-06
8192 2 5.43293877215368e-06 5.4329387721537e-06 5.4329387721537e-06
8704 2.125 5.81182113817941e-06 5.81182113817947e-06 5.81182113817948e-06
9216 2.25 5.9255542436401e-06 5.92555424364012e-06 5.92555424364013e-06
9728 2.375 5.8326829910448e-06 5.83268299104441e-06 5.83268299104442e-06
10240 2.5 6.14594518283374e-06 6.14594518283764e-06 6.14594518283764e-06
10752 2.625 6.37231542157794e-06 6.37231542158495e-06 6.37231542158495e-06
11264 2.75 6.35292298206555e-06 6.35292298207491e-06 6.35292298207492e-06
11776 2.875 6.25572973538577e-06 6.25572973539844e-06 6.25572973539844e-06
12288 3 6.58578456883922e-06 6.58578456885568e-06 6.58578456885568e-06
12800 3.125 6.64989344048424e-06 6.64989344050019e-06 6.64989344050019e-06
13312 3.25 6.51619492894423e-06 6.51619492894335e-06 6.51619492894334e-06
13824 3.375 6.66264963506583e-06 6.66264963518358e-06 6.66264963518358e-06
14336 3.5 6.80714791713988e-06 6.80714791724557e-06 6.80714791724557e-06
14848 3.625 6.72857678254921e-06 6.72857678261144e-06 6.72857678261143e-06
15360 3.75 6.66166564471163e-06 6.66166564478704e-06 6.66166564479224e-06
15872 3.875 6.88075522316855e-06 6.88075522313949e-06 6.88075522315154e-06
16384 4 6.85953666488343e-06 6.85953666480391e-06 6.85953666483266e-06
16896 4.125 1.0740956795025e-05 1.07409567953977e-05 1.07409567950581e-05
17408 4.25 1.54614924536359e-05 1.54614924532818e-05 1.54614924533378e-05
17920 4.375 2.06944030213166e-05 2.06944030206656e-05 2.06944030212789e-05
18432 4.5 2.64482850504257e-05 2.64482850501813e-05 2.64482850509723e-05
18944 4.625 3.27294121323952e-05 3.27294121325664e-05 3.2729412132657e-05
19456 4.75 3.95426395550039e-05 3.9542639555233e-05 3.95426395544277e-05
19968 4.875 4.68923351721869e-05 4.68923351724757e-05 4.68923351717438e-05
20480 5 5.47822011703906e-05 5.4782201170838e-05 5.47822011707957e-05
20992 5.125 6.32127454289413e-05 6.32127454291165e-05 6.32127454293677e-05
21504 5.25 7.21766703069416e-05 7.217667030634e-05 7.21766703066504e-05
22016 5.375 8.16548739206622e-05 8.16548739198027e-05 8.16548739203682e-05
22528 5.5 9.16170518964051e-05 9.16170518963592e-05 9.16170518968247e-05
23040 5.625 0.000102029162420017 0.000102029162420757 0.000102029162420457
23552 5.75 0.000112865425455975 0.000112865425456386 0.000112865425455477
24064 5.875 0.000124117825495105 0.000124117825494698 0.000124117825494127
24576 6 0.000135795051728037 0.000135795051727677 0.000135795051727921
25088 6.125 0.000147907636410764 0.000147907636411288 0.000147907636411812
25600 6.25 0.000160445529601966 0.000160445529602787 0.000160445529602789
26112 6.375 0.000173363263013513 0.000173363263013383 0.000173363263012714
26624 6.5 0.000186588141344009 0.000186588141342985 0.000186588141342348
27136 6.625 0.000200052944947566 0.000200052944946963 0.000200052944947182
27648 6.75 0.000213732209555409 0.000213732209555727 0.000213732209556735
28160 6.875 0.000227649848943194 0.000227649848943482 0.000227649848944314
28672 7 0.00024184367641794 0.000241843676417586 0.000241843676417528
29184 7.125 0.00025631146407336 0.000256311464073082 0.000256311464072266
29696 7.25 0.000270987484677662 0.000270987484678157 0.000270987484677238
30208 7.375 0.000285777299029748 0.000285777299030348 0.000285777299030101
30720 7.5 0.000300624461140628 0.000300624461140433 0.000300624461141105
31232 7.625 0.000315546738333082 0.00031554673833269 0.000315546738333487
31744 7.75 0.000330881169867481 0.000330881169867212 0.000330881169868299
32256 7.875 0.000346284262729134 0.000346284262727176 0.000346284262728548
32768 8 0.00036169262053513 0.000361692620534374 0.000361692620534086
33280 8.125 0.000377182314468585 0.00037718231447011 0.000377182314468707
33792 8.25 0.000392811607089003 0.000392811607090858 0.000392811607089947
34304 8.375 0.000408528184916669 0.000408528184916855 0.00040852818491682
34816 8.5 0.000424209431739397 0.00042420943173791 0.000424209431738693
35328 8.625 0.000439793718503061 0.000439793718501503 0.000439793718503328
35840 8.75 0.000455332019518721 0.000455332019519015 0.000455332019520957
36352 8.875 0.00047089188509357 0.000470891885096369 0.000470891885096762
36864 9 0.000486454361551321 0.000486454361555087 0.00048645436155445
37376 9.125 0.00050194744841843 0.000501947448420827 0.000501947448421246
37888 9.25 0.000517348226275609 0.000517348226275285 0.000517348226276453
38400 9.375 0.000532693825881582 0.00053269382587798 0.000532693825877373
38912 9.5 0.000548003515374065 0.000548003515367144 0.000548003515364389
39424 9.625 0.000563247555824465 0.000563247555815892 0.000563247555814762
39936 9.75 0.00057839749588273 0.000578397495876469 0.000578397495882726
40448 9.875 0.000593460101742105 0.00059346010174201 0.000593460101760514
40960 10 0.000608450222940382 0.000608450222946758 0.000608450222978332
