# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.125 -1.75325893490782e-08 -1.75325893490783e-08 -1.75325893490782e-08
1024 0.25 -8.44521096466825e-08 -8.4452109646683e-08 -8.44521096466829e-08
1536 0.375 -1.91943515564383e-07 -1.91943515564378e-07 -1.91943515564384e-07
2048 0.5 -4.20069590836158e-07 -4.20069590836151e-07 -4.20069590836157e-07
2560 0.625 -7.57347551882863e-07 -7.5734755188286e-07 -7.57347551882858e-07
3072 0.75 -1.20795460533435e-06 -1.20795460533435e-06 -1.20795460533434e-06
3584 0.875 -1.77055212287773e-06 -1.77055212287775e-06 -1.77055212287772e-06
4096 1 -2.43929037566152e-06 -2.43929037566153e-06 -2.43929037566148e-06
4608 1.125 -3.20421088029314e-06 -3.20421088029315e-06 -3.20421088029296e-06
5120 1.25 -4.05141380885302e-06 -4.05141380885304e-06 -4.0514138088527e-06
5632 1.375 -4.9633222963047e-06 -4.96332229630472e-06 -4.96332229630442e-06
6144 1.5 -5.9193096862405e-06 -5.91930968624053e-06 -5.91930968624036e-06
6656 1.625 -6.89671620075176e-06 -6.89671620075181e-06 -6.89671620075172e-06
7168 1.75 -7.87182329729766e-06 -7.87182329729771e-06 -7.87182329729732e-06
7680 1.875 -8.82014186590326e-06 -8.82014186590334e-06 -8.82014186589404e-06
8192 2 -9.71586821144387e-06 -9.7158682114441e-06 -9.71586821141968e-06
8704 2.125 -1.05312536744679e-05 -1.05312536744684e-05 -1.05312536744594e-05
9216 2.25 -1.123674040329e-05 -1.12367404032886e-05 -1.1236740403343e-05
9728 2.375 -1.18018955983032e-05 -1.18018955982831e-05 -1.18018955984029e-05
10240 2.5 -1.21964706785534e-05 -1.21964706785145e-05 -1.21964706786308e-05
10752 2.625 -1.23909580487164e-05 -1.23909580486946e-05 -1.23909580486863e-05
11264 2.75 -1.23565271921206e-05 -1.23565271921395e-05 -1.23565271921535e-05
11776 2.875 -1.20647329256316e-05 -1.20647329257554e-05 -1.2064732925923e-05
12288 3 -1.14875440197768e-05 -1.14875440199705e-05 -1.14875440200015e-05
12800 3.125 -1.05979541373753e-05 -1.05979541374522e-05 -1.0597954137151e-05
13312 3.25 -9.37081570352186e-06 -9.37081570338445e-06 -9.37081570311776e-06
13824 3.375 -8.1385588735229e-06 -8.13855887394348e-06 -8.13855887376309e-06
14336 3.5 -8.98431794646787e-06 -8.98431794688671e-06 -8.98431794678821e-06
14848 3.625 -9.89836346467771e-06 -9.89836346492115e-06 -9.89836346478627e-06
15360 3.75 -1.08327980746278e-05 -1.08327980746024e-05 -1.08327980745079e-05
15872 3.875 -1.17944477817103e-05 -1.17944477815576e-05 -1.17944477818356e-05
16384 4 -1.27969486937906e-05 -1.27969486935214e-05 -1.27969486938928e-05
16896 4.125 -1.38370514084511e-05 -1.38370514081746e-05 -1.38370514084237e-05
17408 4.25 -1.49029390748239e-05 -1.49029390746373e-05 -1.4902939074575e-05
17920 4.375 -1.6004819269657e-05 -1.60048192694226e-05 -1.60048192686754e-05
18432 4.5 -1.71443507296424e-05 -1.71443507287364e-05 -1.71443507279874e-05
18944 4.625 -1.83181814844995e-05 -1.83181814843713e-05 -1.83181814848687e-05
19456 4.75 -1.9509448321866e-05 -1.95094483201472e-05 -1.95094483213025e-05
19968 4.875 -2.06859623200866e-05 -2.06859623184903e-05 -2.06859623176022e-05
20480 5 -2.19033753190667e-05 -2.19033753182774e-05 -2.19033753181641e-05
20992 5.125 -2.31211771203186e-05 -2.31211771194569e-05 -2.31211771197153e-05
21504 5.25 -2.42931253688578e-05 -2.42931253709412e-05 -2.42931253650629e-05
22016 5.375 -2.55627300919731e-05 -2.55627300941724e-05 -2.55627300887957e-05
22528 5.5 -2.69020952678337e-05 -2.69020952714064e-05 -2.69020952610266e-05
23040 5.625 -2.81816910601361e-05 -2.81816910622787e-05 -2.81816910361825e-05
23552 5.75 -2.9331117704875e-05 -2.93311177080235e-05 -2.93311176706989e-05
24064 5.875 -3.04913627681549e-05 -3.04913627844959e-05 -3.04913627508898e-05
24576 6 -3.16228218613069e-05 -3.16228218774025e-05 -3.16228218534666e-05
25088 6.125 -3.27808462529592e-05 -3.27808462505342e-05 -3.27808462780014e-05
25600 6.25 -3.40579697587588e-05 -3.40579697441591e-05 -3.40579697852966e-05
26112 6.375 -3.52983583916032e-05 -3.5298358367098e-05 -3.52983584039796e-05
