# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 5.8341429233551 0 1.3758270740509 0 4.53732514381409 0 0 0 0 0 0 0 0 0 13.4579967028052 313948.147083039 0 313948.147083039 124 2854031 2351 2851680 0 0 0 0 5.8308367729187 1688998339.75765 266
512 0.125 71.7952385248919 71.7952385248919 12.2612130641937 6.26782512664795 7.64755511283875 0 4.63348126411438 3 390199.78231396 390199.78231396 2445704 2445704 319610.703796287 319610.703796287 2003264 2003264 31.6451721257579 621603.515093211 3508.27915087341 618095.235942338 150 2868070 16390 2851680 0 0 0 0 12.245671749115 1688998346.18473 905
1024 0.25 83.3646802388174 75.8977815592849 16.7893269062042 10.7959389686584 12.0775911808014 0 4.73311185836792 6 453078.515375104 453078.515375104 4891408 4891408 371114.361764299 371114.361764299 4006528 4006528 36.5045940655542 608975.580809912 3746.39008398351 605229.190725928 176 2869536 17856 2851680 0 0 0 0 16.7621033191681 1688998350.71284 1544
1536 0.375 85.3226402290078 77.9329159523392 21.8156831264496 15.8222951889038 17.0021653175354 0 4.83250188827515 9 463719.827774767 463719.827774767 7337112 7337112 379830.607901607 379830.607901607 6009792 6009792 41.134157566286 596404.150553581 3972.56242920465 592431.588124377 202 2871011 19331 2851680 0 0 0 0 21.7792916297913 1688998355.7392 2183
2048 0.5 85.8798943453101 79.1381610612072 26.9528920650482 20.9595041275024 21.9868161678314 0 5.04575777053833 12 466748.446933116 466748.446933116 9782816 9782816 382311.334812807 382311.334812807 8013056 8013056 57.1880103884771 860230.711011525 4150.3594440736 856080.351567451 348 5724172 20812 5703360 0 0 0 0 26.9058759212494 1688998360.8764 2822
2560 0.625 85.1832159390332 79.9057860765588 32.4070420265198 26.413654088974 27.287704706192 0 5.13826632499695 15 462962.071011016 462962.071011016 12228520 12228520 379209.933099759 379209.933099759 10016320 10016320 72.2749795233871 1118389.6746295 4307.97945515886 1114081.69517434 374 5725619 22259 5703360 0 0 0 0 32.3497219085693 1688998366.33055 3461
3072 0.75 86.8331208668495 80.6687892500078 37.087513923645 31.0941259860992 31.8755629062653 0 5.23118615150452 18 471929.135636749 471929.135636749 14674224 14674224 386554.811200463 386554.811200463 12019584 12019584 75.9792251844845 1098802.72874842 4517.69403079261 1094285.03471763 400 5727111 23751 5703360 0 0 0 0 37.0193769931793 1688998371.01103 4100
3584 0.875 87.2753503500148 81.4184824246382 42.0860531330109 36.0926651954651 36.779308795929 0 5.3258261680603 21 474332.607672072 474332.607672072 17119928 17119928 388523.483207938 388523.483207938 14022848 14022848 79.5214491587983 1079452.60523893 4714.56667418004 1074738.03856475 426 5728588 25228 5703360 0 0 0 0 42.0077419281006 1688998376.00957 4739
4096 1 88.3790918526504 82.0666080826349 46.7270040512085 40.7336161136627 41.2701504230499 0 5.53203225135803 24 480331.329911988 480331.329911988 19565632 19565632 393437.006802462 393437.006802462 16026112 16026112 93.0939392214238 1306532.20442086 4859.02716231506 1301673.17725855 572 8581748 26708 8555040 0 0 0 0 46.6381049156189 1688998380.65052 5378
4608 1.125 87.4933635445823 82.5661160631541 52.2826130390167 46.2892251014709 46.6711468696594 0 5.64251399040222 27 475517.487098753 475517.487098753 22011336 22011336 389494.01206172 389494.01206172 18029376 18029376 105.854687896663 1529536.79857666 4972.67543950923 1524564.12313715 598 8583153 28113 8555040 0 0 0 0 52.1820771694183 1688998386.20613 6017
5120 1.25 88.3923656205248 83.0029479838468 56.9027619361877 50.909373998642 51.1516652107239 0 5.77018570899963 30 480403.471483511 480403.471483511 24457040 24457040 393496.097605411 393496.097605411 20032640 20032640 107.80552468451 1492661.38439144 5112.06842858806 1487549.31596286 624 8584642 29602 8555040 0 0 0 0 56.7923102378845 1688998390.82627 6656
5632 1.375 89.0461664709501 83.4401459856318 61.5825300216675 55.5891420841217 55.7381026744843 0 5.86505651473999 33 483956.812272597 483956.812272597 26902744 26902744 396406.621398359 396406.621398359 22035904 22035904 110.53264274238 1469075.49533284 5281.09909944824 1463794.39623339 650 8586113 31073 8555040 0 0 0 0 61.4616513252258 1688998395.50604 7295
6144 1.5 89.0450861453956 83.856855994046 66.636824131012 60.6434361934662 60.6407458782196 0 6.07744097709656 36 483950.940813642 483950.940813642 29348448 29348448 396401.812115489 396401.812115489 24039168 24039168 122.079794348766 1665602.3452244 5397.19440534805 1660205.15081906 796 11439282 32562 11406720 0 0 0 0 66.5054223537445 1688998400.56034 7934
6656 1.625 88.3562501561028 84.1624099725697 72.2026259899139 66.2092380523682 66.0463180541992 0 6.17549419403076 39 480207.18762618 480207.18762618 31794152 31794152 393335.3224727 393335.3224727 26042432 26042432 132.871846006032 1858340.9276248 5490.14122635438 1852850.78639844 822 11440728 34008 11406720 0 0 0 0 72.0608742237091 1688998406.12614 8573
7168 1.75 88.8468629248909 84.4307240931206 76.9019129276276 70.9085249900818 70.652884721756 0 6.26847338676453 42 482873.617873017 482873.617873017 34239856 34239856 395519.382245264 395519.382245264 28045696 28045696 135.061000237922 1831006.45781197 5647.43810355034 1825359.01970842 848 11442213 35493 11406720 0 0 0 0 76.7498335838318 1688998410.82542 9212
7680 1.875 89.2969471533143 84.6877212543987 81.5838780403137 75.5904901027679 75.2422251701355 0 6.36057186126709 45 485319.779645888 485319.779645888 36685560 36685560 397523.021204749 397523.021204749 30048960 30048960 137.188209101005 1804495.17409148 5796.91142870248 1798698.26266278 874 11443690 36970 11406720 0 0 0 0 81.4214506149292 1688998415.50739 9851
8192 2 89.4331402138676 84.9481416980811 86.5004570484161 80.5070691108704 80.0073652267456 0 6.56871604919434 48 486059.975008038 486059.975008038 39131264 39131264 398129.311549763 398129.311549763 32052224 32052224 147.233402245965 1978204.58308186 5893.03232587823 1972311.55075598 1020 14296854 38454 14258400 0 0 0 0 86.3275806903839 1688998420.42397 10490
8704 2.125 88.9446868684317 85.161910832069 92.0018980503082 86.0085101127625 85.3591804504395 0 6.66330647468567 51 483405.28100638 483405.28100638 41576968 41576968 395954.864877338 395954.864877338 34055488 34055488 156.863510202599 2152441.94639291 5971.05016187705 2146470.89623104 1046 14298273 39873 14258400 0 0 0 0 91.8186333179474 1688998425.92541 11129
9216 2.25 89.2280986277409 85.3515546306409 96.7719669342041 90.7785789966583 90.03178191185 0 6.75900316238403 54 484945.594947246 484945.594947246 44022672 44022672 397216.528376451 397216.528376451 36058752 36058752 158.452623549343 2121539.23854833 6107.69583675638 2115431.54271157 1072 14299768 41368 14258400 0 0 0 0 96.5781610012054 1688998430.69548 11768
9728 2.375 89.6244357604528 85.5345002039271 101.391478061676 95.3980901241302 94.5579476356506 0 6.85272669792175 57 487099.646749072 487099.646749072 46468376 46468376 398980.901509395 398980.901509395 38062016 38062016 160.09294344158 2092774.76039833 6239.82002591314 2086534.94037242 1098 14301248 42848 14258400 0 0 0 0 101.187377214432 1688998435.31499 12407
10240 2.5 89.9778645611361 85.7177471346269 106.017988920212 100.024600982666 99.0344805717468 0 7.06229043006897 60 489020.496152508 489020.496152508 48914080 48914080 400554.259715999 400554.259715999 40065280 40065280 168.969512331058 2248471.71600382 6320.74851169936 2242150.96749212 1244 17154426 44346 17110080 0 0 0 0 105.803164482117 1688998439.9415 13046
10752 2.625 89.6177528512463 85.8878476144283 111.441245079041 105.447857141495 104.305160045624 0 7.15522384643555 63 487063.325820676 487063.325820676 51359784 51359784 398951.151217331 398951.151217331 42068544 42068544 177.408199884334 2404077.15430289 6392.72090878627 2397684.43339411 1270 17155911 45831 17110080 0 0 0 0 111.216182947159 1688998445.36476 13685
11264 2.75 89.3751288287957 86.0298641664713 116.762459039688 110.769071102142 109.531006336212 0 7.27895379066467 66 485744.689060224 485744.689060224 53805488 53805488 397871.062395752 397871.062395752 44071808 44071808 178.663963241988 2372583.44948492 6519.43695591603 2366064.012529 1296 17157434 47354 17110080 0 0 0 0 116.526623010635 1688998450.68597 14324
