# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.125 1.1053990159357e-10
1024 0.25 1.1053990159357e-10
1536 0.375 1.1053990159357e-10
2048 0.5 1.1053990159357e-10
2560 0.625 1.1053990159357e-10
3072 0.75 1.1053990159357e-10
3584 0.875 1.1053990159357e-10
4096 1 1.1053990159357e-10
4608 1.125 1.1053990159357e-10
5120 1.25 1.1053990159357e-10
5632 1.375 1.1053990159357e-10
6144 1.5 1.1053990159357e-10
6656 1.625 1.1053990159357e-10
7168 1.75 1.1053990159357e-10
7680 1.875 1.1053990159357e-10
8192 2 1.1053990159357e-10
8704 2.125 1.1053990159357e-10
9216 2.25 1.1053990159357e-10
9728 2.375 1.1053990159357e-10
10240 2.5 1.1053990159357e-10
10752 2.625 1.1053990159357e-10
11264 2.75 1.1053990159357e-10
11776 2.875 1.1053990159357e-10
12288 3 1.1053990159357e-10
12800 3.125 1.10539931771058e-10
13312 3.25 1.10540042905559e-10
13824 3.375 1.10540154915083e-10
14336 3.5 1.10540267733704e-10
14848 3.625 1.10540381345015e-10
15360 3.75 1.10540495761507e-10
15872 3.875 1.10540610993741e-10
16384 4 1.10540727029782e-10
16896 4.125 1.10540843834005e-10
17408 4.25 1.10540961360478e-10
17920 4.375 1.10541079569536e-10
18432 4.5 1.10541198438409e-10
18944 4.625 1.10541317962751e-10
19456 4.75 1.10541438150603e-10
19968 4.875 1.10541559012338e-10
20480 5 1.10541680550851e-10
20992 5.125 1.10541802756291e-10
21504 5.25 1.10541925608007e-10
22016 5.375 1.10542049082784e-10
22528 5.5 1.10542173164596e-10
23040 5.625 1.10542297849968e-10
23552 5.75 1.10542423145836e-10
24064 5.875 1.10542549061657e-10
24576 6 1.10542675601041e-10
25088 6.125 1.1054280275793e-10
25600 6.25 1.1054293051897e-10
26112 6.375 1.10543058869782e-10
26624 6.5 1.10543187800952e-10
27136 6.625 1.10543317310496e-10
27648 6.75 1.10543447402076e-10
28160 6.875 1.10543578080633e-10
28672 7 1.1054370934804e-10
29184 7.125 1.10543841200882e-10
29696 7.25 1.10543973631147e-10
30208 7.375 1.10544106629198e-10
30720 7.5 1.1054424018741e-10
31232 7.625 1.10544374302622e-10
31744 7.75 1.10544508976109e-10
32256 7.875 1.10544644211145e-10
32768 8 1.10544780009528e-10
33280 8.125 1.10544916369103e-10
33792 8.25 1.10545053283686e-10
34304 8.375 1.10545190745317e-10
34816 8.5 1.10545328747374e-10
35328 8.625 1.10545467286657e-10
35840 8.75 1.10545606363337e-10
36352 8.875 1.10545745979014e-10
36864 9 1.10545886134193e-10
37376 9.125 1.10546026826621e-10
37888 9.25 1.10546168051279e-10
38400 9.375 1.10546309801817e-10
38912 9.5 1.10546452072525e-10
39424 9.625 1.10546594859784e-10
39936 9.75 1.10546738162279e-10
40448 9.875 1.1054688197998e-10
40960 10 1.10547026312465e-10
41472 10.125 1.10547171157499e-10
41984 10.25 1.10547316510637e-10
42496 10.375 1.10547462366032e-10
43008 10.5 1.10547608717973e-10
43520 10.625 1.10547755562259e-10
44032 10.75 1.10547902896616e-10
44544 10.875 1.10548050719969e-10
45056 11 1.1054819903103e-10
45568 11.125 1.1054834782707e-10
46080 11.25 1.10548497103548e-10
46592 11.375 1.10548646854734e-10
47104 11.5 1.10548797074902e-10
47616 11.625 1.10548947759373e-10
48128 11.75 1.1054909890487e-10
48640 11.875 1.10549250509054e-10
49152 12 1.10549402569556e-10
49664 12.125 1.10549555083053e-10
50176 12.25 1.10549708044866e-10
50688 12.375 1.10549861449257e-10
51200 12.5 1.10550015290237e-10
51712 12.625 1.10550169562433e-10
52224 12.75 1.10550324261534e-10
52736 12.875 1.10550479384087e-10
53248 13 1.10550634926771e-10
53760 13.125 1.10550790885573e-10
54272 13.25 1.10550947255337e-10
54784 13.375 1.1055110402993e-10
55296 13.5 1.105512612029e-10
55808 13.625 1.10551418768224e-10
56320 13.75 1.10551576720726e-10
56832 13.875 1.10551735055941e-10
