# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.50619567579048
512 0.125 1.50619567580046
1024 0.25 1.50619567583836
1536 0.375 1.50619567591059
2048 0.5 1.50619567603516
2560 0.625 1.50619567621648
3072 0.75 1.50619567644856
3584 0.875 1.50619567673781
4096 1 1.50619567708764
4608 1.125 1.50619567751765
5120 1.25 1.50619567803217
5632 1.375 1.50619567864452
6144 1.5 1.50619567932593
6656 1.625 1.5061956800839
7168 1.75 1.50619568091054
7680 1.875 1.50619568180585
8192 2 1.50619568279534
8704 2.125 1.50619568386443
9216 2.25 1.50619568501663
9728 2.375 1.50619568625255
10240 2.5 1.50619568757763
10752 2.625 1.50619568899092
11264 2.75 1.50619569049183
11776 2.875 1.50619569207279
12288 3 1.50619569373113
12800 3.125 1.50619569546708
13312 3.25 1.50619569729643
13824 3.375 1.50619569921329
14336 3.5 1.50619570121694
14848 3.625 1.50619570329863
15360 3.75 1.50619570545679
15872 3.875 1.50619570770895
16384 4 1.50619571004964
16896 4.125 1.50619571248162
17408 4.25 1.50619571499515
17920 4.375 1.50619571759809
18432 4.5 1.50619572028121
18944 4.625 1.50619572304997
19456 4.75 1.50619572590529
19968 4.875 1.50619572884111
20480 5 1.50619573184708
20992 5.125 1.50619573493315
21504 5.25 1.50619573809875
22016 5.375 1.50619574133237
22528 5.5 1.50619574463838
23040 5.625 1.50619574802912
23552 5.75 1.50619575149253
24064 5.875 1.50619575503037
24576 6 1.50619575864523
25088 6.125 1.50619576234281
25600 6.25 1.50619576612986
26112 6.375 1.50619577000429
26624 6.5 1.50619577396257
27136 6.625 1.50619577800467
27648 6.75 1.5061957821275
28160 6.875 1.50619578632969
28672 7 1.50619579061931
29184 7.125 1.50619579498792
29696 7.25 1.50619579942996
30208 7.375 1.50619580394989
30720 7.5 1.50619580854686
31232 7.625 1.50619581322605
31744 7.75 1.50619581797216
32256 7.875 1.50619582278953
32768 8 1.50619582768405
33280 8.125 1.50619583265922
33792 8.25 1.50619583770324
34304 8.375 1.50619584282273
34816 8.5 1.50619584801625
35328 8.625 1.50619585327499
35840 8.75 1.50619585861153
36352 8.875 1.50619586402297
36864 9 1.50619586950656
37376 9.125 1.50619587507178
37888 9.25 1.50619588070212
38400 9.375 1.50619588639597
38912 9.5 1.50619589216812
39424 9.625 1.5061958980083
39936 9.75 1.50619590391878
40448 9.875 1.50619590989973
40960 10 1.50619591594485
41472 10.125 1.50619592205751
41984 10.25 1.50619592824353
42496 10.375 1.50619593449799
43008 10.5 1.5061959408202
43520 10.625 1.50619594721068
44032 10.75 1.50619595366614
44544 10.875 1.50619596017922
45056 11 1.5061959667616
45568 11.125 1.50619597341398
46080 11.25 1.5061959801363
46592 11.375 1.50619598692198
47104 11.5 1.50619599378069
47616 11.625 1.50619600070212
48128 11.75 1.50619600770291
48640 11.875 1.50619601477845
49152 12 1.50619602193099
49664 12.125 1.50619602915828
50176 12.25 1.50619603644489
50688 12.375 1.50619604380973
51200 12.5 1.50619605124339
51712 12.625 1.50619605874175
52224 12.75 1.5061960663052
52736 12.875 1.50619607392327
53248 13 1.50619608160174
53760 13.125 1.50619608933945
54272 13.25 1.50619609713031
54784 13.375 1.50619610498465
55296 13.5 1.50619611288675
55808 13.625 1.50619612084056
56320 13.75 1.5061961288519
56832 13.875 1.50619613693125
57344 14 1.5061961450673
57856 14.125 1.50619615325683
58368 14.25 1.50619616149807
58880 14.375 1.5061961697828
59392 14.5 1.50619617811087
59904 14.625 1.50619618649525
60416 14.75 1.50619619491928
60928 14.875 1.50619620338563
61440 15 1.50619621190709
61952 15.125 1.50619622048295
62464 15.25 1.50619622910293
62976 15.375 1.50619623779143
63488 15.5 1.50619624652194
64000 15.625 1.50619625529409
64512 15.75 1.50619626412426
65024 15.875 1.50619627299738
65536 16 1.50619628191661
66048 16.125 1.50619629088211
66560 16.25 1.50619629990662
67072 16.375 1.50619630900481
67584 16.5 1.50619631815153
68096 16.625 1.50619632736037
68608 16.75 1.50619633662689
69120 16.875 1.50619634595105
69632 17 1.50619635533064
70144 17.125 1.50619636476483
70656 17.25 1.50619637426551
71168 17.375 1.50619638381924
71680 17.5 1.50619639342956
72192 17.625 1.50619640308791
72704 17.75 1.50619641277983
73216 17.875 1.50619642252991
73728 18 1.5061964323392
74240 18.125 1.50619644220717
74752 18.25 1.50619645212552
75264 18.375 1.50619646208696
75776 18.5 1.50619647209468
76288 18.625 1.50619648212136
76800 18.75 1.50619649216236
77312 18.875 1.50619650223124
77824 19 1.50619651234786
78336 19.125 1.50619652253191
78848 19.25 1.50619653277059
79360 19.375 1.50619654305861
79872 19.5 1.50619655339864
80384 19.625 1.50619656377275
80896 19.75 1.50619657420129
81408 19.875 1.50619658468726
81920 20 1.50619659521088
82432 20.125 1.50619660577682
82944 20.25 1.50619661637442
83456 20.375 1.50619662701326
83968 20.5 1.50619663770185
84480 20.625 1.50619664843491
84992 20.75 1.50619665920108
85504 20.875 1.50619666997627
86016 21 1.50619668075528
86528 21.125 1.50619669154394
87040 21.25 1.50619670234422
87552 21.375 1.50619671318899
88064 21.5 1.50619672408054
88576 21.625 1.50619673500373
89088 21.75 1.50619674596727
89600 21.875 1.50619675695849
90112 22 1.50619676798683
90624 22.125 1.50619677907107
91136 22.25 1.50619679019925
91648 22.375 1.5061968013858
92160 22.5 1.506196812621
92672 22.625 1.50619682390306
93184 22.75 1.50619683524155
93696 22.875 1.50619684661128
94208 23 1.50619685801903
94720 23.125 1.5061968694706
95232 23.25 1.50619688095261
95744 23.375 1.50619689247839
96256 23.5 1.5061969040374
96768 23.625 1.50619691562525
97280 23.75 1.50619692725961
97792 23.875 1.50619693892468
98304 24 1.50619695064007
98816 24.125 1.50619696237149
99328 24.25 1.50619697411283
99840 24.375 1.50619698591515
100352 24.5 1.50619699776263
100864 24.625 1.50619700965812
101376 24.75 1.50619702158374
101888 24.875 1.50619703356072
102400 25 1.50619704557996
102912 25.125 1.50619705766146
103424 25.25 1.50619706979105
103936 25.375 1.50619708195173
104448 25.5 1.50619709412182
