# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 8.99999999999999e-09
512 0.125 8.99999999999999e-09
1024 0.25 8.99999999999999e-09
1536 0.375 8.99999999999999e-09
2048 0.5 8.99999999999999e-09
2560 0.625 8.99999999999999e-09
3072 0.75 8.99999999999999e-09
3584 0.875 8.99999999999999e-09
4096 1 8.99999999999999e-09
4608 1.125 8.99999999999999e-09
5120 1.25 8.99999999999999e-09
5632 1.375 8.99999999999999e-09
6144 1.5 8.99999999999999e-09
6656 1.625 8.99999999999999e-09
7168 1.75 8.99999999999999e-09
7680 1.875 8.99999999999999e-09
8192 2 8.99999999999999e-09
8704 2.125 8.99999999999999e-09
9216 2.25 8.99999999999999e-09
9728 2.375 8.99999999999999e-09
10240 2.5 8.99999999999999e-09
10752 2.625 8.99999999999999e-09
11264 2.75 8.99999999999999e-09
11776 2.875 8.99999999999999e-09
12288 3 8.99999999999999e-09
12800 3.125 8.99999999999999e-09
13312 3.25 8.99999999999999e-09
13824 3.375 8.99999999999999e-09
14336 3.5 8.99999999999999e-09
14848 3.625 8.99999999999999e-09
15360 3.75 8.99999999999999e-09
15872 3.875 8.99999999999999e-09
16384 4 8.99999999999999e-09
16896 4.125 8.99999999999999e-09
17408 4.25 8.99999999999999e-09
17920 4.375 8.99999999999999e-09
18432 4.5 8.99999999999999e-09
18944 4.625 8.99999999999999e-09
19456 4.75 8.99999999999999e-09
19968 4.875 8.99999999999999e-09
20480 5 8.99999999999999e-09
20992 5.125 8.99999999999999e-09
21504 5.25 8.99999999999999e-09
22016 5.375 8.99999999999999e-09
22528 5.5 8.99999999999999e-09
23040 5.625 8.99999999999999e-09
23552 5.75 8.99999999999999e-09
24064 5.875 8.99999999999999e-09
24576 6 8.99999999999999e-09
25088 6.125 8.99999999999999e-09
25600 6.25 8.99999999999999e-09
26112 6.375 8.99999999999999e-09
26624 6.5 8.99999999999999e-09
27136 6.625 8.99999999999999e-09
27648 6.75 8.99999999999999e-09
28160 6.875 8.99999999999999e-09
28672 7 8.99999999999999e-09
29184 7.125 8.99999999999999e-09
29696 7.25 8.99999999999999e-09
30208 7.375 8.99999999999999e-09
30720 7.5 8.99999999999999e-09
31232 7.625 8.99999999999999e-09
31744 7.75 8.99999999999999e-09
32256 7.875 8.99999999999999e-09
32768 8 8.99999999999999e-09
33280 8.125 8.99999999999999e-09
33792 8.25 8.99999999999999e-09
34304 8.375 8.99999999999999e-09
34816 8.5 8.99999999999999e-09
35328 8.625 8.99999999999999e-09
35840 8.75 8.99999999999999e-09
36352 8.875 8.99999999999999e-09
36864 9 8.99999999999999e-09
37376 9.125 8.99999999999999e-09
37888 9.25 8.99999999999999e-09
38400 9.375 8.99999999999999e-09
38912 9.5 8.99999999999999e-09
39424 9.625 8.99999999999999e-09
39936 9.75 8.99999999999999e-09
40448 9.875 8.99999999999999e-09
40960 10 8.99999999999999e-09
41472 10.125 8.99999999999999e-09
41984 10.25 8.99999999999999e-09
42496 10.375 8.99999999999999e-09
43008 10.5 8.99999999999999e-09
43520 10.625 8.99999999999999e-09
44032 10.75 8.99999999999999e-09
44544 10.875 8.99999999999999e-09
45056 11 8.99999999999999e-09
45568 11.125 8.99999999999999e-09
46080 11.25 8.99999999999999e-09
46592 11.375 8.99999999999999e-09
47104 11.5 8.99999999999999e-09
47616 11.625 8.99999999999999e-09
48128 11.75 8.99999999999999e-09
48640 11.875 8.99999999999999e-09
49152 12 8.99999999999999e-09
49664 12.125 8.99999999999999e-09
50176 12.25 8.99999999999999e-09
50688 12.375 8.99999999999999e-09
51200 12.5 8.99999999999999e-09
51712 12.625 8.99999999999999e-09
52224 12.75 8.99999999999999e-09
52736 12.875 8.99999999999999e-09
53248 13 8.99999999999999e-09
53760 13.125 8.99999999999999e-09
54272 13.25 8.99999999999999e-09
54784 13.375 8.99999999999999e-09
55296 13.5 8.99999999999999e-09
55808 13.625 8.99999999999999e-09
56320 13.75 8.99999999999999e-09
56832 13.875 8.99999999999999e-09
57344 14 8.99999999999999e-09
57856 14.125 8.99999999999999e-09
58368 14.25 8.99999999999999e-09
58880 14.375 8.99999999999999e-09
59392 14.5 8.99999999999999e-09
59904 14.625 8.99999999999999e-09
60416 14.75 8.99999999999999e-09
60928 14.875 8.99999999999999e-09
61440 15 8.99999999999999e-09
61952 15.125 8.99999999999999e-09
62464 15.25 8.99999999999999e-09
62976 15.375 8.99999999999999e-09
63488 15.5 8.99999999999999e-09
64000 15.625 8.99999999999999e-09
64512 15.75 8.99999999999999e-09
65024 15.875 8.99999999999999e-09
65536 16 8.99999999999999e-09
66048 16.125 8.99999999999999e-09
66560 16.25 8.99999999999999e-09
67072 16.375 8.99999999999999e-09
67584 16.5 8.99999999999999e-09
68096 16.625 8.99999999999999e-09
68608 16.75 8.99999999999999e-09
69120 16.875 8.99999999999999e-09
69632 17 8.99999999999999e-09
70144 17.125 8.99999999999999e-09
70656 17.25 8.99999999999999e-09
71168 17.375 8.99999999999999e-09
71680 17.5 8.99999999999999e-09
72192 17.625 8.99999999999999e-09
72704 17.75 8.99999999999999e-09
73216 17.875 8.99999999999999e-09
73728 18 8.99999999999999e-09
74240 18.125 8.99999999999999e-09
74752 18.25 8.99999999999999e-09
75264 18.375 8.99999999999999e-09
75776 18.5 8.99999999999999e-09
76288 18.625 8.99999999999999e-09
76800 18.75 8.99999999999999e-09
77312 18.875 8.99999999999999e-09
77824 19 8.99999999999999e-09
78336 19.125 8.99999999999999e-09
78848 19.25 8.99999999999999e-09
79360 19.375 8.99999999999999e-09
79872 19.5 8.99999999999999e-09
80384 19.625 8.99999999999999e-09
80896 19.75 8.99999999999999e-09
81408 19.875 8.99999999999999e-09
81920 20 8.99999999999999e-09
82432 20.125 8.99999999999999e-09
82944 20.25 8.99999999999999e-09
83456 20.375 8.99999999999999e-09
83968 20.5 8.99999999999999e-09
84480 20.625 8.99999999999999e-09
84992 20.75 8.99999999999999e-09
