# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.125 0.00127983814295228
1024 0.25 0.0012796837250003
1536 0.375 0.00127954069943398
2048 0.5 0.00127941302379116
2560 0.625 0.00127930442172399
3072 0.75 0.0012792182844002
3584 0.875 0.00127915758917767
4096 1 0.0012791248411479
4608 1.125 0.00127912537315331
5120 1.25 0.00127917024662068
5632 1.375 0.00127925868599199
6144 1.5 0.00127939118552941
6656 1.625 0.00127956236438933
7168 1.75 0.00127976544804376
7680 1.875 0.00127999294066887
8192 2 0.00128023722917787
8704 2.125 0.00128049113530576
9216 2.25 0.00128074837394474
9728 2.375 0.00128100388359454
10240 2.5 0.00128125302347508
10752 2.625 0.00128149756014645
11264 2.75 0.00128173912187841
11776 2.875 0.00128197854292079
12288 3 0.00128221733982303
12800 3.125 0.00128245887720864
13312 3.25 0.00128270923121457
13824 3.375 0.00128296926098642
14336 3.5 0.00128323940590346
14848 3.625 0.00128352011596413
15360 3.75 0.00128381193031584
15872 3.875 0.00128411547572701
16384 4 0.00128443143224889
16896 4.125 0.00128476049259671
17408 4.25 0.00128510332320632
17920 4.375 0.00128546053263333
18432 4.5 0.00128583264760707
18944 4.625 0.00128622009302637
19456 4.75 0.00128662317230214
19968 4.875 0.00128704204782307
20480 5 0.00128747672515332
20992 5.125 0.00128792704608313
21504 5.25 0.00128839269339056
22016 5.375 0.00128887320542134
22528 5.5 0.00128936799514925
23040 5.625 0.0012898763695267
23552 5.75 0.00129039754724978
24064 5.875 0.00129093066923414
24576 6 0.00129147483459417
25088 6.125 0.00129202915618964
25600 6.25 0.00129259279444972
26112 6.375 0.00129316498420031
26624 6.5 0.00129374505262376
27136 6.625 0.00129433243037823
27648 6.75 0.00129492666050492
28160 6.875 0.00129552740756947
28672 7 0.00129613444366746
29184 7.125 0.00129674764708318
29696 7.25 0.00129736702391998
30208 7.375 0.00129799270541429
30720 7.5 0.00129862493890441
31232 7.625 0.00129926407795663
31744 7.75 0.00129991057427323
32256 7.875 0.0013005649697257
32768 8 0.00130122788422134
33280 8.125 0.00130189999737578
33792 8.25 0.00130258202698783
34304 8.375 0.00130327471076507
34816 8.5 0.00130397879541804
35328 8.625 0.00130469502958808
35840 8.75 0.00130542415047799
36352 8.875 0.00130616685591062
36864 9 0.00130692376625207
37376 9.125 0.00130769540293649
37888 9.25 0.00130848215456408
38400 9.375 0.00130928427834624
38912 9.5 0.00131010194613352
39424 9.625 0.00131093527138704
39936 9.75 0.00131178428720915
40448 9.875 0.00131264890576432
40960 10 0.00131352890297821
41472 10.125 0.00131442392282865
41984 10.25 0.00131533350092125
42496 10.375 0.00131625708995751
43008 10.5 0.00131719407732861
43520 10.625 0.00131814379793105
44032 10.75 0.00131910554741322
44544 10.875 0.00132007859757221
45056 11 0.00132106222054951
45568 11.125 0.00132205571194172
46080 11.25 0.00132305840502796
46592 11.375 0.00132406967970053
47104 11.5 0.00132508896800764
47616 11.625 0.00132611575908973
48128 11.75 0.00132714960686164
48640 11.875 0.00132819014677127
49152 12 0.00132923712569014
49664 12.125 0.00133029043172781
50176 12.25 0.00133135009308067
50688 12.375 0.00133241623165701
51200 12.5 0.0013334890084022
51712 12.625 0.00133456861652171
52224 12.75 0.00133565532847616
52736 12.875 0.00133674953737319
53248 13 0.00133785174053984
53760 13.125 0.00133896248258142
54272 13.25 0.00134008230986198
54784 13.375 0.00134121175463902
55296 13.5 0.0013423513301729
55808 13.625 0.00134350153168917
56320 13.75 0.0013446628504215
56832 13.875 0.0013458357782719
57344 14 0.00134702076981108
57856 14.125 0.00134821818331818
58368 14.25 0.00134942826311296
58880 14.375 0.00135065117110492
59392 14.5 0.00135188700547285
59904 14.625 0.00135313577813856
60416 14.75 0.00135439740379718
60928 14.875 0.00135567173492298
61440 15 0.00135695858759606
61952 15.125 0.0013582577041581
62464 15.25 0.00135956870280153
62976 15.375 0.00136089109660414
63488 15.5 0.00136222436660825
64000 15.625 0.00136356800457969
64512 15.75 0.00136492150219642
65024 15.875 0.00136628433692827
65536 16 0.00136765597932828
66048 16.125 0.00136903589908285
66560 16.25 0.00137042356904389
67072 16.375 0.0013718184922405
67584 16.5 0.00137322023728406
68096 16.625 0.00137462844149086
68608 16.75 0.00137604279405788
69120 16.875 0.00137746304747422
69632 17 0.00137888904565231
70144 17.125 0.00138032071042434
70656 17.25 0.00138175799549716
71168 17.375 0.00138320088556688
71680 17.5 0.00138464945254844
72192 17.625 0.00138610388145113
72704 17.75 0.00138756441855113
73216 17.875 0.00138903131252597
73728 18 0.00139050482146928
74240 18.125 0.00139198525029601
74752 18.25 0.00139347294517015
75264 18.375 0.00139496824949108
75776 18.5 0.001396471479235
76288 18.625 0.00139798293311301
76800 18.75 0.00139950290367956
77312 18.875 0.00140103166676184
77824 19 0.00140256945588212
78336 19.125 0.0014041164364418
78848 19.25 0.00140567269760053
79360 19.375 0.0014072382745601
79872 19.5 0.00140881318020817
80384 19.625 0.00141039740260254
80896 19.75 0.00141199086495108
81408 19.875 0.00141359339940175
81920 20 0.0014152047679376
82432 20.125 0.00141682469877952
82944 20.25 0.00141845289661484
83456 20.375 0.00142008903555589
83968 20.5 0.0014217327639491
84480 20.625 0.00142338371533824
84992 20.75 0.00142504150296269
85504 20.875 0.00142670570677597
86016 21 0.00142837588269536
86528 21.125 0.00143005159758347
87040 21.25 0.00143173246404323
87552 21.375 0.00143341815467975
88064 21.5 0.00143510839813199
88576 21.625 0.00143680297034038
89088 21.75 0.00143850169417587
89600 21.875 0.00144020445427745
90112 22 0.00144191121560231
90624 22.125 0.0014436220231058
91136 22.25 0.0014453369751319
