# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.125 0.0151453806441756 0.0151453806441756 0.0151453806441756
1024 0.25 0.0144520468567011 0.0144520468567011 0.0144520468567011
1536 0.375 0.013757210835656 0.013757210835656 0.013757210835656
2048 0.5 0.0130668773973915 0.0130668773973915 0.0130668773973915
2560 0.625 0.012382004477863 0.012382004477863 0.012382004477863
3072 0.75 0.0117028043860823 0.0117028043860823 0.0117028043860823
3584 0.875 0.0110292338413413 0.0110292338413413 0.0110292338413413
4096 1 0.010361102022527 0.010361102022527 0.010361102022527
4608 1.125 0.00969815572490069 0.00969815572490069 0.0096981557249007
5120 1.25 0.00904015308550093 0.00904015308550094 0.00904015308550095
5632 1.375 0.00838698063411077 0.00838698063411076 0.00838698063411077
6144 1.5 0.00773851801222 0.00773851801222 0.00773851801222001
6656 1.625 0.00709461994518235 0.00709461994518235 0.00709461994518235
7168 1.75 0.00645514023717877 0.00645514023717877 0.00645514023717878
7680 1.875 0.00581994241564046 0.00581994241564046 0.00581994241564046
8192 2 0.00518888123008087 0.00518888123008092 0.00518888123008088
8704 2.125 0.00456180734782593 0.00456180734782608 0.00456180734782594
9216 2.25 0.00393618609710873 0.00393618609710874 0.00393618609710875
9728 2.375 0.00330285912952322 0.00330285912952324 0.00330285912952322
10240 2.5 0.00265974849575809 0.00265974849575812 0.00265974849575808
10752 2.625 0.00198924607093092 0.00198924607093091 0.0019892460709309
11264 2.75 0.00129176033402859 0.00129176033402854 0.0012917603340286
11776 2.875 0.000571225539313304 0.000571225539313342 0.000571225539313368
12288 3 8.34512175541504e-19 3.46335480339877e-19 3.92103938312186e-28
12800 3.125 8.9106974251831e-19 2.90905549318032e-19 6.22467949925596e-28
13312 3.25 7.0236706059778e-19 3.60399876128505e-19 5.87178184757854e-28
13824 3.375 8.77876097972875e-19 6.49452115426346e-19 8.37855923356442e-28
14336 3.5 6.53048512737402e-19 5.74668058710811e-19 1.07926598291341e-27
14848 3.625 6.728842840909e-19 8.62438621374022e-19 1.73088419658309e-27
15360 3.75 1.10981162655506e-18 8.16165001904776e-19 1.53619282404168e-27
15872 3.875 1.13620059823762e-18 7.25951227045796e-19 1.64097976022887e-27
16384 4 8.20724674307022e-19 9.61894207712242e-19 2.01249202513666e-27
16896 4.125 8.45277602954193e-19 8.06364016791389e-19 1.74014712873668e-27
17408 4.25 1.08996793191044e-18 8.03378303959564e-19 2.7150111129542e-27
17920 4.375 9.01600551895049e-19 8.3729952329227e-19 3.15939424846766e-27
18432 4.5 1.01122131650913e-18 8.84662668738702e-19 2.82753214614568e-27
18944 4.625 9.11988518921429e-19 1.37030113969043e-18 3.42452859412994e-27
19456 4.75 1.04100855646461e-18 1.14979059783192e-18 3.67141959410694e-27
19968 4.875 1.09062734536743e-18 1.39689089298752e-18 2.95128321094476e-27
20480 5 8.04717748405775e-19 1.54485833692085e-18 4.61369068329246e-27
20992 5.125 1.10296839598289e-18 1.04098047748321e-18 4.04953500020208e-27
21504 5.25 1.2979688246776e-18 9.90864696543432e-19 9.20719025674627e-27
22016 5.375 1.17467237306821e-18 8.73942404485747e-19 6.92987040293933e-27
22528 5.5 1.53772857797588e-18 9.5021729694878e-19 7.25898349491422e-27
23040 5.625 1.561423639359e-18 1.17065709277377e-18 1.42479255761485e-26
23552 5.75 1.71171608103587e-18 1.36934806117502e-18 8.76641625393353e-27
24064 5.875 1.69073113003332e-18 1.66401139326122e-18 1.03781664331848e-26
24576 6 1.61624548673742e-18 1.22503774900983e-18 6.77812043603735e-27
25088 6.125 1.64969945783869e-18 1.15295796537675e-18 1.37274151772979e-26
25600 6.25 1.19948141856006e-18 1.34327498588926e-18 1.91173785487963e-26
26112 6.375 1.18730041951898e-18 1.58001963047515e-18 1.26789857069852e-26
26624 6.5 1.62889026864382e-18 1.67751745974714e-18 1.15103506020162e-26
27136 6.625 1.4901383869982e-18 1.87919597018193e-18 1.4949147302747e-26
27648 6.75 1.20380105591467e-18 1.67641981630125e-18 2.37254169638448e-26
28160 6.875 1.52879289494371e-18 2.60499422333348e-18 2.34636118366682e-26
28672 7 2.58417480154006e-18 2.2749818945214e-18 2.80132200267079e-26
29184 7.125 1.94068279141714e-18 1.76197300363928e-18 3.00705016884281e-26
29696 7.25 1.94081166752765e-18 1.78990895237729e-18 2.47264962504751e-26
30208 7.375 1.39986089223478e-18 1.61622253113498e-18 2.62365871003355e-26
30720 7.5 1.60328008707588e-18 1.62782625327412e-18 2.69364029303692e-26
31232 7.625 1.92993728019389e-18 1.77196588897216e-18 4.19282500498259e-26
31744 7.75 2.04455877587838e-18 2.39096394840086e-18 3.83601199324987e-26
32256 7.875 2.68857874496759e-18 1.53638795221568e-18 3.60042944066208e-26
32768 8 2.19751123649082e-18 1.83639637384404e-18 3.23851128110717e-26
33280 8.125 2.09168821117289e-18 1.61941184639972e-18 3.8673522649471e-26
33792 8.25 2.37388358891663e-18 1.67925479927631e-18 5.5436476926913e-26
34304 8.375 1.69016058445909e-18 2.62946222893515e-18 4.11156891103494e-26
34816 8.5 1.82514936385241e-18 2.51481962067736e-18 7.69351512561528e-26
35328 8.625 1.66553620260295e-18 3.18168038721698e-18 1.33194512498865e-25
35840 8.75 1.51650630584295e-18 2.95076197299115e-18 6.79859467228946e-26
36352 8.875 1.8617055247956e-18 3.25431858462773e-18 1.05626159174043e-25
36864 9 2.18370355884534e-18 2.79317226063962e-18 8.08663049034318e-26
37376 9.125 1.71563081164736e-18 3.04582830622082e-18 6.52347053589792e-26
37888 9.25 2.34622280719658e-18 3.00487177355763e-18 1.23116431313915e-25
38400 9.375 2.68542223725913e-18 2.94713846634237e-18 1.20906945822348e-25
