# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.125 -0.00146025354330981 -0.00146025354330981 -0.00146025354330981
1024 0.25 -0.00291523445727603 -0.00291523445727603 -0.00291523445727603
1536 0.375 -0.00436668924494575 -0.00436668924494575 -0.00436668924494575
2048 0.5 -0.00581303220784682 -0.00581303220784682 -0.00581303220784681
2560 0.625 -0.00725630656628283 -0.00725630656628283 -0.00725630656628283
3072 0.75 -0.00869759794489242 -0.00869759794489242 -0.00869759794489242
3584 0.875 -0.0101352679361385 -0.0101352679361385 -0.0101352679361385
4096 1 -0.0115669823644485 -0.0115669823644485 -0.0115669823644485
4608 1.125 -0.0129916063502412 -0.0129916063502412 -0.0129916063502412
5120 1.25 -0.01434642296222 -0.01434642296222 -0.01434642296222
5632 1.375 -0.0157560966472553 -0.0157560966472553 -0.0157560966472553
6144 1.5 -0.0171561319169461 -0.0171561319169461 -0.0171561319169461
6656 1.625 -0.0185456556780325 -0.0185456556780325 -0.0185456556780325
7168 1.75 -0.0199237522443775 -0.0199237522443775 -0.0199237522443775
7680 1.875 -0.0212895470653824 -0.0212895470653824 -0.0212895470653824
8192 2 -0.0226456732165188 -0.0226456732165188 -0.0226456732165188
8704 2.125 -0.0239887312644155 -0.0239887312644155 -0.0239887312644155
9216 2.25 -0.0253176723220287 -0.0253176723220287 -0.0253176723220288
9728 2.375 -0.0266316387083866 -0.0266316387083866 -0.0266316387083866
10240 2.5 -0.0279295855805078 -0.0279295855805078 -0.0279295855805078
10752 2.625 -0.0292008614058305 -0.0292008614058305 -0.0292008614058305
11264 2.75 -0.0304743351521194 -0.0304743351521195 -0.0304743351521195
11776 2.875 -0.031730427041978 -0.0317304270419779 -0.0317304270419781
12288 3 -0.0329684875158976 -0.0329684875158976 -0.0329684875158976
