# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.125 1.00015963201217
1024 0.25 1.00014534995901
1536 0.375 1.0001317371009
2048 0.5 1.00011890620746
2560 0.625 1.00010685968878
3072 0.75 1.00009558433654
3584 0.875 1.00008506235396
4096 1 1.00009936298647
4608 1.125 1.00012500363981
5120 1.25 1.00015216483986
5632 1.375 1.000182845685
6144 1.5 1.00021593254285
6656 1.625 1.00025129355575
7168 1.75 1.00028879363544
7680 1.875 1.00032829126325
8192 2 1.00036963815808
8704 2.125 1.00041190851387
9216 2.25 1.00045706562574
9728 2.375 1.00050369733008
10240 2.5 1.0005516319998
10752 2.625 1.00060292009915
11264 2.75 1.00065187139023
11776 2.875 1.00070464779697
12288 3 1.00076078045557
12800 3.125 1.00081818065634
13312 3.25 1.00087672635438
13824 3.375 1.00093527287414
14336 3.5 1.00099760710805
14848 3.625 1.00106089272798
15360 3.75 1.00112500453864
15872 3.875 1.00118981805225
16384 4 1.00125520953304
16896 4.125 1.0013210565108
17408 4.25 1.00138723868416
17920 4.375 1.00145363796428
18432 4.5 1.00152013864541
18944 4.625 1.00158662712551
19456 4.75 1.00165299178291
19968 4.875 1.00171912448932
20480 5 1.00178719504029
20992 5.125 1.00185746642744
21504 5.25 1.00192734033671
22016 5.375 1.00199669925931
22528 5.5 1.00205532691526
23040 5.625 1.00212219162244
23552 5.75 1.00219860607174
24064 5.875 1.00227922371503
24576 6 1.00235958706776
25088 6.125 1.00243959679096
25600 6.25 1.00252682087333
26112 6.375 1.0026228957507
26624 6.5 1.00271864910915
27136 6.625 1.00281388002913
27648 6.75 1.00291006082566
28160 6.875 1.00301565240047
28672 7 1.00312104730998
29184 7.125 1.00322605294696
29696 7.25 1.00333047556191
30208 7.375 1.00343411276369
30720 7.5 1.00353675919223
31232 7.625 1.00363821541912
31744 7.75 1.00373828212013
32256 7.875 1.00383676005255
32768 8 1.00393345040332
33280 8.125 1.00402815572512
33792 8.25 1.00412068032636
34304 8.375 1.00421083010382
34816 8.5 1.00429842026517
35328 8.625 1.00438326829012
35840 8.75 1.00446518892262
36352 8.875 1.00454399817055
36864 9 1.00461951418074
37376 9.125 1.00470692124181
37888 9.25 1.00481111095627
38400 9.375 1.00492847246422
38912 9.5 1.00504474385681
39424 9.625 1.00515980365738
39936 9.75 1.00527354080119
40448 9.875 1.00538585392014
40960 10 1.0054966481761
41472 10.125 1.00560585490267
41984 10.25 1.00571888062541
42496 10.375 1.00583359938756
43008 10.5 1.0059463711303
43520 10.625 1.00605710201421
44032 10.75 1.00616583918535
44544 10.875 1.00627260582473
45056 11 1.00637734934505
45568 11.125 1.0064800608553
46080 11.25 1.00658074699461
46592 11.375 1.00667940550176
47104 11.5 1.00677602161037
47616 11.625 1.00687054806922
48128 11.75 1.00696291361337
48640 11.875 1.00705303527838
49152 12 1.0071408333584
49664 12.125 1.00722623782062
50176 12.25 1.00731955931796
50688 12.375 1.00743598906842
51200 12.5 1.00755053176486
51712 12.625 1.00766314773047
52224 12.75 1.00777377814227
52736 12.875 1.00788234775551
53248 13 1.00798876537423
53760 13.125 1.00810171636071
54272 13.25 1.0082268549063
54784 13.375 1.00834945345936
55296 13.5 1.00846949163536
55808 13.625 1.00858695485799
56320 13.75 1.00870182741374
56832 13.875 1.00881398098061
57344 14 1.00892328040847
57856 14.125 1.00902965034286
58368 14.25 1.00913303522391
58880 14.375 1.00923335656114
59392 14.5 1.00933053170432
59904 14.625 1.00942447382736
60416 14.75 1.00951627580218
60928 14.875 1.00962096712808
61440 15 1.00972252133692
61952 15.125 1.00982077576658
62464 15.25 1.00991556479283
62976 15.375 1.01001033834065
63488 15.5 1.01012792883411
64000 15.625 1.01025238728
64512 15.75 1.01041462039061
65024 15.875 1.0105752331695
65536 16 1.01073410996854
66048 16.125 1.01089113212527
66560 16.25 1.0110461819766
67072 16.375 1.01119913231419
67584 16.5 1.01134984613465
68096 16.625 1.0114981731807
68608 16.75 1.01164395087624
69120 16.875 1.01178701147306
69632 17 1.01192892984593
70144 17.125 1.01206908736939
70656 17.25 1.01220611110288
71168 17.375 1.01233979687054
71680 17.5 1.01246991861946
72192 17.625 1.01259619555901
72704 17.75 1.012718364914
73216 17.875 1.01283621671701
73728 18 1.01294949086065
74240 18.125 1.01305788322161
74752 18.25 1.013187037126
75264 18.375 1.01331425138825
75776 18.5 1.01343678038246
76288 18.625 1.01355430387364
76800 18.75 1.01366643963937
77312 18.875 1.01377278418861
77824 19 1.01388402430137
78336 19.125 1.01400002807136
78848 19.25 1.01411010402324
79360 19.375 1.01421380020737
79872 19.5 1.01431382812736
80384 19.625 1.01441140809335
80896 19.75 1.01450144443417
81408 19.875 1.01458340696907
81920 20 1.01465672783676
82432 20.125 1.01472079803202
82944 20.25 1.01477496959361
83456 20.375 1.01484819494146
83968 20.5 1.0149266108748
84480 20.625 1.01499533960143
84992 20.75 1.01505371343469
85504 20.875 1.01510102702445
86016 21 1.01514616126193
86528 21.125 1.01526733520084
87040 21.25 1.01537924316493
87552 21.375 1.01548168300944
88064 21.5 1.01557427829936
88576 21.625 1.01565654088164
89088 21.75 1.0157279026816
89600 21.875 1.01578842498637
90112 22 1.01583778842977
90624 22.125 1.01587523878524
91136 22.25 1.01590028495864
91648 22.375 1.01591304788321
