# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.125 1
1024 0.25 1
1536 0.375 1
2048 0.5 1
2560 0.625 1
3072 0.75 1
3584 0.875 1
4096 1 1
4608 1.125 1
5120 1.25 1
5632 1.375 1
6144 1.5 1
6656 1.625 1
7168 1.75 1
7680 1.875 1
8192 2 1
8704 2.125 1
9216 2.25 1
9728 2.375 1
10240 2.5 1
10752 2.625 1
11264 2.75 1
11776 2.875 1
12288 3 1
12800 3.125 1
13312 3.25 1
13824 3.375 1
14336 3.5 1
14848 3.625 1
15360 3.75 1
15872 3.875 1
16384 4 1
16896 4.125 1
17408 4.25 1
17920 4.375 1
18432 4.5 1
18944 4.625 1
19456 4.75 1
19968 4.875 1
20480 5 1
20992 5.125 1
21504 5.25 1
22016 5.375 1
22528 5.5 1
23040 5.625 1
23552 5.75 1
24064 5.875 1
24576 6 1
25088 6.125 1
25600 6.25 1
26112 6.375 1
26624 6.5 1
27136 6.625 1
27648 6.75 1
28160 6.875 1
28672 7 1
29184 7.125 1
29696 7.25 1
30208 7.375 1
30720 7.5 1
31232 7.625 1
31744 7.75 1
32256 7.875 1
32768 8 1
33280 8.125 1
33792 8.25 1
34304 8.375 1
34816 8.5 1
35328 8.625 1
35840 8.75 1
36352 8.875 1
36864 9 1
37376 9.125 1
37888 9.25 1
38400 9.375 1
38912 9.5 1
39424 9.625 1
39936 9.75 1
40448 9.875 1
40960 10 1
41472 10.125 1
41984 10.25 1
42496 10.375 1
43008 10.5 1
43520 10.625 1
44032 10.75 1
44544 10.875 1
45056 11 1
45568 11.125 1
46080 11.25 1
46592 11.375 1
47104 11.5 1
47616 11.625 1
48128 11.75 1
48640 11.875 1
49152 12 1
49664 12.125 1
50176 12.25 1
50688 12.375 1
51200 12.5 1
51712 12.625 1
52224 12.75 1
52736 12.875 1
53248 13 1
53760 13.125 1
54272 13.25 1
54784 13.375 1
55296 13.5 1
55808 13.625 1
56320 13.75 1
56832 13.875 1
57344 14 1
57856 14.125 1
58368 14.25 1
58880 14.375 1
59392 14.5 1
59904 14.625 1
60416 14.75 1
60928 14.875 1
61440 15 1
61952 15.125 1
62464 15.25 1
62976 15.375 1
63488 15.5 1
64000 15.625 1
64512 15.75 1
65024 15.875 1
65536 16 1
66048 16.125 1
66560 16.25 1
67072 16.375 1
67584 16.5 1
68096 16.625 1
68608 16.75 1
69120 16.875 1
69632 17 1
70144 17.125 1
70656 17.25 1
71168 17.375 1
71680 17.5 1
72192 17.625 1
72704 17.75 1
73216 17.875 1
73728 18 1
74240 18.125 1
74752 18.25 1
75264 18.375 1
75776 18.5 1
76288 18.625 1
76800 18.75 1
77312 18.875 1
77824 19 1
78336 19.125 1
78848 19.25 1
79360 19.375 1
79872 19.5 1
80384 19.625 1
80896 19.75 1
81408 19.875 1
81920 20 1
82432 20.125 1
82944 20.25 1
83456 20.375 1
83968 20.5 1
84480 20.625 1
84992 20.75 1
85504 20.875 1
86016 21 1
86528 21.125 1
87040 21.25 1
87552 21.375 1
88064 21.5 1
88576 21.625 1
89088 21.75 1
89600 21.875 1
90112 22 1
90624 22.125 1
91136 22.25 1
91648 22.375 1
92160 22.5 1
92672 22.625 1
93184 22.75 1
93696 22.875 1
94208 23 1
94720 23.125 1
95232 23.25 1
95744 23.375 1
96256 23.5 1
96768 23.625 1
97280 23.75 1
97792 23.875 1
98304 24 1
98816 24.125 1
99328 24.25 1
99840 24.375 1
100352 24.5 1
100864 24.625 1
101376 24.75 1
101888 24.875 1
102400 25 1
102912 25.125 1
103424 25.25 1
103936 25.375 1
104448 25.5 1
104960 25.625 1
105472 25.75 1
105984 25.875 1
106496 26 1
107008 26.125 1
107520 26.25 1
108032 26.375 1
108544 26.5 1
109056 26.625 1
109568 26.75 1
110080 26.875 1
110592 27 1
111104 27.125 1
111616 27.25 1
112128 27.375 1
112640 27.5 1
113152 27.625 1
113664 27.75 1
114176 27.875 1
114688 28 1
115200 28.125 1
115712 28.25 1
116224 28.375 1
116736 28.5 1
117248 28.625 1
117760 28.75 1
118272 28.875 1
118784 29 1
119296 29.125 1
119808 29.25 1
120320 29.375 1
120832 29.5 1
121344 29.625 1
121856 29.75 1
122368 29.875 1
122880 30 1
