# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -3.51799701265014e-05
512 0.125 -3.65251926820085e-05
1024 0.25 -3.89420440785455e-05
1536 0.375 -3.9991659083995e-05
2048 0.5 -3.86785814852829e-05
2560 0.625 -3.73450922685945e-05
3072 0.75 -3.96193478872389e-05
3584 0.875 -3.93758714055087e-05
4096 1 -4.21310556864632e-05
4608 1.125 -4.1269304653913e-05
5120 1.25 -3.97538581708169e-05
5632 1.375 -3.93080453981269e-05
6144 1.5 -4.23604514982336e-05
6656 1.625 -4.44000231756779e-05
7168 1.75 -4.42831656684499e-05
7680 1.875 -4.27581574781261e-05
8192 2 -4.28080871547567e-05
8704 2.125 -4.41241110579782e-05
9216 2.25 -4.63977863237375e-05
9728 2.375 -4.69411729066415e-05
10240 2.5 -4.66507804580203e-05
10752 2.625 -4.60681497555207e-05
11264 2.75 -4.73160533100398e-05
11776 2.875 -4.93576154009112e-05
12288 3 -5.31257782838678e-05
12800 3.125 -4.99939783169078e-05
13312 3.25 -4.94232380487895e-05
13824 3.375 -5.17125030492818e-05
14336 3.5 -5.42297074100839e-05
14848 3.625 -5.52641731127189e-05
15360 3.75 -5.27805117939742e-05
15872 3.875 -5.21715107245305e-05
16384 4 -5.55181963624453e-05
16896 4.125 -5.91048012470591e-05
17408 4.25 -5.99584221627776e-05
17920 4.375 -5.75039746386268e-05
18432 4.5 -5.72291638264772e-05
18944 4.625 -6.11046732525118e-05
19456 4.75 -6.43848676744559e-05
19968 4.875 -6.44025421674616e-05
20480 5 -6.02489797796586e-05
20992 5.125 -6.32646921116705e-05
21504 5.25 -6.70582847855341e-05
22016 5.375 -7.08322186734223e-05
22528 5.5 -6.75771767112654e-05
23040 5.625 -6.66036099606885e-05
23552 5.75 -6.96890299109514e-05
24064 5.875 -7.50526590977764e-05
24576 6 -7.67954561091992e-05
25088 6.125 -7.17489610765118e-05
25600 6.25 -7.2900043407772e-05
26112 6.375 -7.64863276287184e-05
26624 6.5 -8.36077937382618e-05
27136 6.625 -7.95224893833193e-05
27648 6.75 -7.80351716538682e-05
28160 6.875 -7.86049180875644e-05
28672 7 -8.6898596564425e-05
29184 7.125 -8.63744411449525e-05
29696 7.25 -8.57145294377926e-05
30208 7.375 -8.45886567870238e-05
30720 7.5 -8.84112424913795e-05
31232 7.625 -9.07412091548783e-05
31744 7.75 -9.23167512967468e-05
32256 7.875 -9.21812227640488e-05
32768 8 -9.2482692459985e-05
33280 8.125 -9.43298316756585e-05
33792 8.25 -9.68249551317311e-05
34304 8.375 -9.8451870378348e-05
34816 8.5 -9.934689524387e-05
35328 8.625 -9.95196273706486e-05
35840 8.75 -0.000101588262096143
36352 8.875 -0.000104578549734092
36864 9 -0.000107135698914639
37376 9.125 -0.000106229073061275
37888 9.25 -0.000107075139386189
38400 9.375 -0.000108760943790201
38912 9.5 -0.000113315400024847
39424 9.625 -0.000114107709807726
39936 9.75 -0.000114149188561396
40448 9.875 -0.000114962125315963
40960 10 -0.00011706854439653
41472 10.125 -0.000120036157115226
41984 10.25 -0.000121524228626601
42496 10.375 -0.000121958286842978
43008 10.5 -0.000123815997771416
43520 10.625 -0.000125547302172355
44032 10.75 -0.000127767799906447
44544 10.875 -0.000129667226111678
45056 11 -0.000131482280484869
45568 11.125 -0.000133067969271024
46080 11.25 -0.000134309709903005
46592 11.375 -0.000136204183436227
47104 11.5 -0.000138940075064087
47616 11.625 -0.000141177876770011
48128 11.75 -0.000142253745420252
48640 11.875 -0.00014347798849637
49152 12 -0.000146080388523749
49664 12.125 -0.000148910282680445
50176 12.25 -0.000150339810961972
50688 12.375 -0.000151574558713688
51200 12.5 -0.000153648884574896
51712 12.625 -0.000156275461143943
52224 12.75 -0.000158124815866877
52736 12.875 -0.000159865071004799
53248 13 -0.00016207265525343
53760 13.125 -0.000164159331384176
54272 13.25 -0.000165773308569937
54784 13.375 -0.000167902079239602
55296 13.5 -0.000170344943439029
55808 13.625 -0.000172632242968991
56320 13.75 -0.000174397052020489
56832 13.875 -0.000176348245170648
57344 14 -0.000178345097671587
