# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.8819922108225e-06
512 0.125 6.54379702720813e-06
1024 0.25 9.85187084725788e-06
1536 0.375 1.24655859020339e-05
2048 0.5 1.4562804462629e-05
2560 0.625 1.60801124846003e-05
3072 0.75 1.6947547219125e-05
3584 0.875 1.72756355347731e-05
4096 1 1.71627330831354e-05
4608 1.125 1.69341852448205e-05
5120 1.25 1.67960329517668e-05
5632 1.375 1.69029136713351e-05
6144 1.5 1.73554297164045e-05
6656 1.625 1.78483873243664e-05
7168 1.75 1.82110029296969e-05
7680 1.875 1.83710902983543e-05
8192 2 1.83243713343207e-05
8704 2.125 1.81519623204967e-05
9216 2.25 1.79433861996448e-05
9728 2.375 1.77840225649928e-05
10240 2.5 1.77896478782644e-05
10752 2.625 1.80999162357219e-05
11264 2.75 1.83899196091685e-05
11776 2.875 1.85704836955352e-05
12288 3 1.8589680319772e-05
12800 3.125 1.85069350847846e-05
13312 3.25 1.84179064712125e-05
13824 3.375 1.83037179641301e-05
14336 3.5 1.82388971825709e-05
14848 3.625 1.82662742703532e-05
15360 3.75 1.85041680178365e-05
15872 3.875 1.86777378945453e-05
16384 4 1.86971172050884e-05
16896 4.125 1.86751545576701e-05
17408 4.25 1.86151474463583e-05
17920 4.375 1.85550965271883e-05
18432 4.5 1.84852531075955e-05
18944 4.625 1.84715328524032e-05
19456 4.75 1.85494886700648e-05
19968 4.875 1.86975196531352e-05
20480 5 1.88017539670276e-05
20992 5.125 1.87605814108111e-05
21504 5.25 1.86991698958246e-05
22016 5.375 1.86926635733308e-05
22528 5.5 1.86382381688994e-05
23040 5.625 1.85900756852198e-05
23552 5.75 1.86201827898745e-05
24064 5.875 1.87165504821837e-05
24576 6 1.87983949559772e-05
25088 6.125 1.88164780916388e-05
25600 6.25 1.8776506231085e-05
26112 6.375 1.87247535617885e-05
26624 6.5 1.87238880023499e-05
27136 6.625 1.86929592355307e-05
27648 6.75 1.86680710360233e-05
28160 6.875 1.87101533464348e-05
28672 7 1.88005492132694e-05
29184 7.125 1.88285487379939e-05
29696 7.25 1.8787579101335e-05
30208 7.375 1.8761834554451e-05
30720 7.5 1.87580953144657e-05
31232 7.625 1.87373317878592e-05
31744 7.75 1.87227766970005e-05
32256 7.875 1.87245068932863e-05
32768 8 1.87625501388601e-05
33280 8.125 1.88102029815984e-05
33792 8.25 1.8812368892568e-05
34304 8.375 1.87693488403782e-05
34816 8.5 1.87468944800555e-05
35328 8.625 1.87727016651484e-05
35840 8.75 1.8755886840485e-05
36352 8.875 1.87349985257092e-05
36864 9 1.87451431906979e-05
37376 9.125 1.87830226127231e-05
37888 9.25 1.87876194748644e-05
38400 9.375 1.87672503891564e-05
38912 9.5 1.87480491224996e-05
39424 9.625 1.87614882691674e-05
39936 9.75 1.87613349239146e-05
40448 9.875 1.87298801867918e-05
40960 10 1.87179713471949e-05
41472 10.125 1.87364963224456e-05
41984 10.25 1.87584589354279e-05
42496 10.375 1.87492185449816e-05
43008 10.5 1.87158890413556e-05
43520 10.625 1.87238080362426e-05
44032 10.75 1.87377674407925e-05
44544 10.875 1.87323113830842e-05
45056 11 1.87174855264236e-05
45568 11.125 1.87090799852279e-05
46080 11.25 1.87137705049858e-05
