# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 5.64729306650608e-06 5.64729306642692e-06 5.64729306634805e-06
1024 0.25 8.13857626659681e-06 8.13857626661758e-06 8.13857626663861e-06
1536 0.375 7.85577722244966e-06 7.85577722250282e-06 7.85577722238916e-06
2048 0.5 1.19752264158701e-05 1.19752264158842e-05 1.19752264158984e-05
2560 0.625 1.63648557724411e-05 1.63648557725087e-05 1.63648557725763e-05
3072 0.75 2.05229190444737e-05 2.05229190444957e-05 2.05229190445177e-05
3584 0.875 2.40161342262957e-05 2.40161342262961e-05 2.40161342262965e-05
4096 1 2.6404842057019e-05 2.64048420569962e-05 2.64048420569733e-05
4608 1.125 2.7307465095346e-05 2.73074650953356e-05 2.73074650953253e-05
5120 1.25 2.64816765418882e-05 2.64816765418858e-05 2.64816765418833e-05
5632 1.375 2.3904645491701e-05 2.39046454916712e-05 2.39046454916414e-05
6144 1.5 2.6189647638852e-05 2.61896476388314e-05 2.61896476388108e-05
6656 1.625 2.99170152861373e-05 2.99170152860942e-05 2.9917015286051e-05
7168 1.75 3.07809270244582e-05 3.07809270243992e-05 3.07809270243402e-05
7680 1.875 2.86593094067162e-05 2.865930940661e-05 2.86593094065038e-05
8192 2 2.40341036531557e-05 2.40341036530931e-05 2.40341036530312e-05
8704 2.125 2.77979163115639e-05 2.77979163115836e-05 2.77979163115904e-05
9216 2.25 3.03925417054622e-05 3.0392541705483e-05 3.03925417054806e-05
9728 2.375 2.9994923063248e-05 2.99949230632904e-05 2.99949230632828e-05
10240 2.5 2.68399241385067e-05 2.68399241385488e-05 2.6839924138552e-05
10752 2.625 2.44353469476375e-05 2.44353469477695e-05 2.44353469478526e-05
11264 2.75 2.77377906652588e-05 2.77377906651397e-05 2.77377906651996e-05
11776 2.875 2.86193121669325e-05 2.8619312165913e-05 2.86193121659615e-05
12288 3 2.71553944973689e-05 2.71553944961101e-05 2.71553944961677e-05
12800 3.125 2.38278837185728e-05 2.38278837175642e-05 2.38278837176157e-05
13312 3.25 2.41613724961464e-05 2.41613724964993e-05 2.41613724966562e-05
13824 3.375 2.57943905769455e-05 2.57943905745756e-05 2.57943905746639e-05
14336 3.5 2.57672606944508e-05 2.57672606903911e-05 2.57672606903038e-05
14848 3.625 2.43330730484029e-05 2.43330730445951e-05 2.43330730443789e-05
15360 3.75 2.18145547446333e-05 2.18145547430851e-05 2.18145547427884e-05
15872 3.875 2.23620572134941e-05 2.23620572116483e-05 2.23620572125049e-05
16384 4 2.3471149193884e-05 2.34711491895198e-05 2.34711491903538e-05
16896 4.125 2.37261220817005e-05 2.37261220783098e-05 2.37261220784078e-05
17408 4.25 2.31304859109239e-05 2.31304859120822e-05 2.31304859112466e-05
17920 4.375 2.1576640288766e-05 2.15766402924303e-05 2.15766402914478e-05
18432 4.5 2.08100554936844e-05 2.0810055496648e-05 2.08100554945645e-05
18944 4.625 2.24624990667002e-05 2.24624990717649e-05 2.24624990739037e-05
19456 4.75 2.35221359523909e-05 2.35221359550981e-05 2.3522135962706e-05
19968 4.875 2.35814941966093e-05 2.35814941944426e-05 2.35814942048975e-05
