# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 -5.76935744639177e-06 -5.76935744643156e-06 -5.76935744647144e-06
1024 0.25 -8.29971893247586e-06 -8.29971893242465e-06 -8.29971893237353e-06
1536 0.375 -9.89215884374915e-06 -9.89215884367262e-06 -9.89215884359679e-06
2048 0.5 -1.31201005181602e-05 -1.31201005183014e-05 -1.31201005184429e-05
2560 0.625 -1.62867193692147e-05 -1.62867193693061e-05 -1.62867193693974e-05
3072 0.75 -1.94144207815933e-05 -1.94144207816568e-05 -1.94144207816836e-05
3584 0.875 -2.25489843429449e-05 -2.25489843429653e-05 -2.25489843429508e-05
4096 1 -2.55876880100681e-05 -2.55876880100187e-05 -2.55876880099926e-05
4608 1.125 -2.8659292265639e-05 -2.86592922657634e-05 -2.86592922659136e-05
5120 1.25 -3.16742458609682e-05 -3.16742458611254e-05 -3.16742458613009e-05
5632 1.375 -3.45828987248065e-05 -3.45828987250864e-05 -3.45828987253781e-05
6144 1.5 -3.73566486913749e-05 -3.7356648691678e-05 -3.73566486919956e-05
6656 1.625 -4.0005075595941e-05 -4.00050755959713e-05 -4.00050755952539e-05
7168 1.75 -4.25631226312054e-05 -4.25631226310599e-05 -4.25631226310838e-05
7680 1.875 -4.50560844956404e-05 -4.50560844959689e-05 -4.50560844981113e-05
8192 2 -4.74755207727545e-05 -4.74755207735844e-05 -4.74755207743339e-05
8704 2.125 -4.97859743874589e-05 -4.97859743885223e-05 -4.97859743843027e-05
9216 2.25 -5.19558225979815e-05 -5.19558225985034e-05 -5.19558225921585e-05
9728 2.375 -5.39853586593315e-05 -5.39853586645916e-05 -5.39853586582776e-05
10240 2.5 -5.59070568889156e-05 -5.59070568925807e-05 -5.59070568905783e-05
10752 2.625 -5.77547646646805e-05 -5.7754764660375e-05 -5.77547646572139e-05
11264 2.75 -5.95280181715091e-05 -5.95280181637941e-05 -5.95280181541007e-05
11776 2.875 -6.11804599310016e-05 -6.11804599359184e-05 -6.11804599246154e-05
12288 3 -6.26578909416011e-05 -6.26578909420419e-05 -6.26578909332149e-05
12800 3.125 -6.39378237989825e-05 -6.39378237916829e-05 -6.39378237922812e-05
13312 3.25 -6.50440816493144e-05 -6.50440816432811e-05 -6.50440816537356e-05
13824 3.375 -6.60239465189921e-05 -6.60239465212898e-05 -6.60239465237838e-05
14336 3.5 -6.69052085286658e-05 -6.69052085218585e-05 -6.69052085112589e-05
14848 3.625 -6.76744382337555e-05 -6.76744382250238e-05 -6.76744382212657e-05
15360 3.75 -6.82974061651708e-05 -6.82974061699703e-05 -6.82974061826504e-05
15872 3.875 -6.87609938364211e-05 -6.87609938393372e-05 -6.87609938562007e-05
16384 4 -6.90899564440053e-05 -6.90899564295208e-05 -6.90899564432985e-05
16896 4.125 -6.93177258966128e-05 -6.93177258823049e-05 -6.93177258940667e-05
17408 4.25 -6.9444287203714e-05 -6.94442872000126e-05 -6.94442872064275e-05
17920 4.375 -6.94242159025708e-05 -6.94242159084146e-05 -6.94242159003037e-05
18432 4.5 -6.92021877279249e-05 -6.92021877375612e-05 -6.92021877157396e-05
18944 4.625 -6.87639740778025e-05 -6.87639740882346e-05 -6.87639740690248e-05
19456 4.75 -6.81576768146097e-05 -6.81576768087901e-05 -6.81576768250371e-05
19968 4.875 -6.74644089650877e-05 -6.7464408941496e-05 -6.7464408979538e-05
20480 5 -6.67388716362443e-05 -6.67388716365125e-05 -6.67388716332235e-05
20992 5.125 -6.6006588146726e-05 -6.60065881334652e-05 -6.60065881654801e-05
21504 5.25 -6.53113716248917e-05 -6.53113716024215e-05 -6.53113716148253e-05
22016 5.375 -6.44591090049038e-05 -6.44591089511645e-05 -6.44591089601152e-05
22528 5.5 -6.33779793347515e-05 -6.337797927874e-05 -6.33779793029474e-05
23040 5.625 -6.20451486949023e-05 -6.20451486824773e-05 -6.20451487080239e-05
23552 5.75 -6.05101762939702e-05 -6.0510176331622e-05 -6.05101763349256e-05
24064 5.875 -5.89602620440464e-05 -5.89602620433836e-05 -5.89602620503046e-05
24576 6 -5.78919707052736e-05 -5.78919707074737e-05 -5.78919706998853e-05
25088 6.125 -5.64310547805364e-05 -5.6431054788906e-05 -5.64310548105873e-05
