# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 4.26839638540444e-08 4.26839638431578e-08 4.26839638407375e-08
1024 0.25 1.36272795119737e-07 1.36272795125227e-07 1.36272795106913e-07
1536 0.375 2.73847547716608e-07 2.73847547755728e-07 2.7384754773352e-07
2048 0.5 4.39351923927758e-07 4.39351923935501e-07 4.39351923923867e-07
2560 0.625 6.15400340115451e-07 6.15400340175782e-07 6.15400340240686e-07
3072 0.75 7.51285253299769e-07 7.51285253431014e-07 7.51285253321801e-07
3584 0.875 8.13370635773247e-07 8.13370635943858e-07 8.13370635946259e-07
4096 1 8.18907281182127e-07 8.18907281297397e-07 8.18907281165801e-07
4608 1.125 8.58059407361821e-07 8.58059407856186e-07 8.58059407849242e-07
5120 1.25 8.45681392744656e-07 8.45681393428075e-07 8.45681393106816e-07
5632 1.375 7.93183797979408e-07 7.93183795890697e-07 7.93183796709926e-07
6144 1.5 8.04834998042148e-07 8.04834996335696e-07 8.04834999311267e-07
6656 1.625 8.99156432659627e-07 8.99156431132415e-07 8.99156435052941e-07
7168 1.75 9.5434652853505e-07 9.5434653153247e-07 9.54346533523439e-07
7680 1.875 9.35765562258891e-07 9.35765565850774e-07 9.35765565811376e-07
8192 2 8.66206139527222e-07 8.66206141165562e-07 8.66206142029406e-07
8704 2.125 8.83694341688249e-07 8.83694340985026e-07 8.83694341431483e-07
9216 2.25 9.63924267561528e-07 9.63924266684156e-07 9.63924267767271e-07
9728 2.375 9.80596648148229e-07 9.80596647383163e-07 9.80596643542199e-07
10240 2.5 9.74021752322951e-07 9.74021755047148e-07 9.74021750882005e-07
10752 2.625 1.00365747438577e-06 1.0036574740396e-06 1.00365747436029e-06
11264 2.75 1.01974137559033e-06 1.01974137342187e-06 1.01974137496429e-06
11776 2.875 1.00271514912099e-06 1.00271515567596e-06 1.00271516210133e-06
12288 3 9.90194549511174e-07 9.90194549355307e-07 9.90194553610084e-07
12800 3.125 1.0173667918806e-06 1.01736678619079e-06 1.01736678686533e-06
13312 3.25 1.08024408943746e-06 1.08024409011602e-06 1.08024409232149e-06
13824 3.375 1.1021894490511e-06 1.10218945404108e-06 1.10218945325046e-06
14336 3.5 1.07372653162454e-06 1.07372653227991e-06 1.0737265316636e-06
14848 3.625 1.05044431300729e-06 1.05044431240666e-06 1.05044431330592e-06
15360 3.75 1.06499798197473e-06 1.0649979854805e-06 1.06499798174948e-06
15872 3.875 1.12885923170751e-06 1.12885923094838e-06 1.12885922634653e-06
16384 4 1.16067462624638e-06 1.1606746204302e-06 1.16067461298605e-06
16896 4.125 1.18399239070751e-06 1.18399238588823e-06 1.18399238676488e-06
17408 4.25 1.17020291298548e-06 1.17020290894427e-06 1.17020291363931e-06
17920 4.375 1.15979607777237e-06 1.15979606934108e-06 1.15979607850588e-06
18432 4.5 1.20634722218162e-06 1.20634721887889e-06 1.20634722557789e-06
18944 4.625 1.26404176664739e-06 1.26404176900507e-06 1.26404177264378e-06
19456 4.75 1.27141349934469e-06 1.27141350193029e-06 1.27141350474834e-06
19968 4.875 1.26490936611994e-06 1.26490936318068e-06 1.26490936821592e-06
20480 5 1.29085602381893e-06 1.29085601750887e-06 1.29085601790576e-06
