# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on May 15 2023 at 09:48:48+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
# Run ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 6.53147792816162 0 2.19908833503723 0 4.39026427268982 0 0 0 0 0 0 0 0 0 13.8491700042908 35897.0486511218 0 35897.0486511218 124 589787 2267 587520 0 0 0 0 6.52937030792236 1684136928.03381 266
512 0.5 1322.61040531571 1322.61040531571 7.96403789520264 1.36094498634338 3.56168365478516 0 4.40503907203674 3 175854.279490776 175854.279490776 239328 239328 86340.0072590092 86340.0072590092 117504 117504 33.1640735903512 137009.646898111 3553.780351514 133455.866546597 150 603362 15842 587520 0 0 0 0 7.95109105110168 1684136929.46637 905
1024 1 1655.75942303953 1655.75942303953 8.77732181549072 2.17422890663147 4.36185431480408 0 4.41813826560974 6 220149.772887336 220149.772887336 478656 478656 108087.975136021 108087.975136021 235008 235008 38.9539725914079 136921.628322705 3862.10520117023 133059.523121535 176 604764 17244 587520 0 0 0 0 8.75355935096741 1684136930.27966 1544
1536 1.5 1781.27237282233 1781.27237282233 9.63463377952576 3.0315408706665 5.20597720146179 0 4.43210244178772 9 236837.974690457 236837.974690457 717984 717984 116281.460497842 116281.460497842 352512 352512 44.7088177892895 136826.820801919 4163.56510715509 132663.255694764 202 606159 18639 587520 0 0 0 0 9.60053014755249 1684136931.13697 2183
2048 2 1831.79255213095 1831.79255213095 10.5336689949036 3.93057608604431 6.03933215141296 0 4.55228614807129 12 243555.137731331 243555.137731331 957312 957312 119579.417803109 119579.417803109 470016 470016 63.1906352126973 169750.293884841 4422.23195370549 165328.061931136 348 1195103 20063 1175040 0 0 0 0 10.4884819984436 1684136932.036 2822
2560 2.5 1527.9346982153 1527.9346982153 12.4933969974518 5.89030408859253 7.9299168586731 0 4.5660662651062 15 203154.197474707 203154.197474707 1196640 1196640 99743.5770994951 99743.5770994951 587520 587520 81.0784727330976 262145.109350725 4657.41043099799 257487.698919727 374 1196493 21453 1175040 0 0 0 0 12.4378776550293 1684136933.99573 3461
3072 3 1604.74624020696 1528.58662778221 13.3331289291382 6.73003602027893 8.75608944892883 0 4.57948017120361 18 213367.060097917 213367.060097917 1435968 1435968 104757.83456071 104757.83456071 705024 705024 86.5188080007313 261682.689253364 4957.78987664797 256724.899376716 400 1197925 22885 1175040 0 0 0 0 13.2672193050385 1684136934.83546 4100
3584 3.5 1674.18455295241 1536.84382187814 14.1291449069977 7.52605199813843 9.53559398651123 0 4.59600377082825 21 222599.578160553 222599.578160553 1675296 1675296 109290.767616734 109290.767616734 822528 822528 91.8679268619734 261044.455750371 5242.34963687958 255802.106113491 426 1199321 24281 1175040 0 0 0 0 14.0528037548065 1684136935.63148 4739
4096 4 1712.83796608654 1550.62159704893 15.0101928710938 8.4070999622345 10.3445000648499 0 4.72845506668091 24 227738.935970867 227738.935970867 1914624 1914624 111814.06242613 111814.06242613 940032 940032 108.879864383734 290647.725067803 5468.21255909884 285179.512508704 572 1788264 25704 1762560 0 0 0 0 14.9216628074646 1684136936.51253 5378
4608 4.5 1556.71249526642 1541.86470221816 17.0096387863159 10.4065458774567 12.270423412323 0 4.74164652824402 27 206980.493370623 206980.493370623 2153952 2153952 101622.191690992 101622.191690992 1057536 1057536 125.337203128529 377585.076597254 5675.41204132669 371909.664555927 598 1789658 27098 1762560 0 0 0 0 16.9113707542419 1684136938.51197 6017
5120 5 1602.33997860476 1543.13165202084 17.8366639614105 11.2335710525513 13.0825674533844 0 4.75659251213074 30 213047.123555288 213047.123555288 2393280 2393280 104600.753803318 104600.753803318 1175040 1175040 130.413843924557 376705.857143731 5960.33335717136 370745.52378656 624 1791089 28529 1762560 0 0 0 0 17.7279524803162 1684136939.339 6656
5632 5.5 1632.34498168902 1547.38457774461 18.7328817844391 12.1297888755798 13.9647362232208 0 4.77067756652832 33 217036.588765372 217036.588765372 2632608 2632608 106559.480404659 106559.480404659 1292544 1292544 135.482441067707 375886.175660726 6233.03118967839 369653.144471048 650 1792480 29920 1762560 0 0 0 0 18.6136074066162 1684136940.23522 7295
6144 6 1661.15155174719 1552.84258230698 19.6061208248138 13.0030279159546 14.7741990089417 0 4.88881659507751 36 220866.710320306 220866.710320306 2871936 2871936 108439.973298057 108439.973298057 1410048 1410048 151.492517448333 403409.466104565 6449.40071207979 396960.065392485 796 2381436 31356 2350080 0 0 0 0 19.4761602878571 1684136941.10845 7934
6656 6.5 1582.1613276324 1551.90423802846 21.3929879665375 14.7898950576782 16.493499994278 0 4.90195322036743 39 210364.170122003 210364.170122003 3111264 3111264 103283.491467843 103283.491467843 1527552 1527552 166.956221676927 486302.244946871 6643.95956971557 479658.285377156 822 2382832 32752 2350080 0 0 0 0 21.2529842853546 1684136942.89532 8573
7168 7 1616.47055433766 1553.60271298553 22.1926128864288 15.5895199775696 17.2709777355194 0 4.92420101165771 42 214925.924904736 214925.924904736 3350592 3350592 105523.197787163 105523.197787163 1645056 1645056 171.487721889349 484406.081901351 6906.24131163386 477499.840589717 848 2384262 34182 2350080 0 0 0 0 22.0422141551971 1684136943.69495 9212
7680 7.5 1645.20778507884 1556.65572743659 23.0143938064575 16.4113008975983 18.078675031662 0 4.93816685676575 45 218746.827104082 218746.827104082 3589920 3589920 107399.164209947 107399.164209947 1762560 1762560 176.266120436742 483305.493858657 7168.15556442752 476137.338294229 874 2385661 35581 2350080 0 0 0 0 22.8538513183594 1684136944.51673 9851
8192 8 1664.3369788999 1560.97332910179 23.907280921936 17.3041880130768 18.9081108570099 0 5.05684328079224 48 221290.24471453 221290.24471453 3829248 3829248 108647.917982585 108647.917982585 1880064 1880064 191.231741985982 508569.215885949 7366.02266411275 501203.193221836 1020 2974616 37016 2937600 0 0 0 0 23.7359459400177 1684136945.40962 10490
8704 8.5 1596.18959188599 1561.52493411444 25.77374792099 19.1706550121307 20.7062652111053 0 5.07037472724915 51 212229.368137161 212229.368137161 4068576 4068576 104199.256558317 104199.256558317 1997568 1997568 205.624776571506 587234.761392554 7538.65423664556 579696.107155908 1046 2976003 38403 2937600 0 0 0 0 25.5920269489288 1684136947.27608 11129
9216 9 1621.15434133962 1562.98311881059 26.5888519287109 19.9857590198517 21.5078995227814 0 5.08340358734131 54 215548.681224516 215548.681224516 4307904 4307904 105828.95540265 105828.95540265 2115072 2115072 210.196812462487 585962.386997662 7803.0646289328 578159.322368729 1072 2977436 39836 2937600 0 0 0 0 26.3968601226807 1684136948.09119 11768
9728 9.5 1642.30130972105 1565.20195451232 27.4275298118591 20.8244369029999 22.333336353302 0 5.09707140922546 57 218360.38214051 218360.38214051 4547232 4547232 107209.42949859 107209.42949859 2232576 2232576 214.754309764644 584710.224343082 8053.67922003112 576656.545123051 1098 2978828 41228 2937600 0 0 0 0 27.2252948284149 1684136948.92986 12407
10240 10 1652.66834153611 1568.46454851335 28.3860478401184 21.7829549312592 23.2280387878418 0 5.21481966972351 60 219738.782690642 219738.782690642 4786560 4786560 107886.189335478 107886.189335478 2350080 2350080 228.770439919872 607905.098308433 8231.85837203199 599673.239936401 1244 3567781 42661 3525120 0 0 0 0 28.1720561981201 1684136949.88838 13046
10752 10.5 1605.27426444437 1569.39760176575 30.1504709720612 23.5473780632019 24.9250721931458 0 5.22784972190857 63 213437.266200524 213437.266200524 5025888 5025888 104792.303982929 104792.303982929 2467584 2467584 242.278159727892 683013.708810334 8401.08130639395 674612.62750394 1270 3569228 44108 3525120 0 0 0 0 29.9275712966919 1684136951.65281 13685
11264 11 1624.13864135129 1570.56304788003 30.9852478504181 24.3821549415588 25.7467651367188 0 5.24090385437012 66 215945.473754067 215945.473754067 5265216 5265216 106023.770507412 106023.770507412 2585088 2585088 246.636301122316 681592.780799415 8665.10447410541 672927.67632531 1296 3570710 45590 3525120 0 0 0 0 30.7520077228546 1684136952.48758 14324
11776 11.5 1639.15273214328 1572.29246457764 31.8600437641144 25.2569508552551 26.608366727829 0 5.25417685508728 69 217941.747265771 217941.747265771 5504544 5504544 107003.890354313 107003.890354313 2702592 2702592 250.967451138664 680154.163197838 8917.15154538971 671237.011652449 1322 3572156 47036 3525120 0 0 0 0 31.6163697242737 1684136953.36238 14963
